int32 0,int32 1,int32 2,int32 3,string2 4,int32 5,int32 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,float 15,float 16,float 17,int32 18,float 19,float 20,float 21,float 22,string2 23,string2 24,string2 25,float 26,float 27,string2 28,float 29,int32 30,string2 31,float 32,float 33,float 34,int32 35,float 36,float 37,float 38,float 39,float 40,float 41,int32 42,int32 43,int32 44,float 45,float 46,float 47,float 48,string2 49,string2 50,float 51,int32 52,string3 53,float 54,float 55,float 56,int32 57,float 58,float 59,float 60,float 61,float 62,float 63,int32 64,int32 65,int32 66,float 67,float 68,float 69,float 70,string2 71,bool 72,bool 73,bool 74,bool 75,bool 76,bool 77,bool 78,int32 79,float 80,int32 81,float 82,float 83,string2 84,int32 85,float 86,int32 87,float 88,float 89,float 90,string2 91,int32 92,float 93,int32 94,float 95,string2 96,float 97,float 98,float 99,float 100,string2 101,string2 102,string2 103
14500518,6000208,0,5,"",0,0,"enemy_d1_01","tag_minienemy","","","","",25.236,0,-31.916,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,5,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,1,0,20,"",0,0,0,-1,"","",""
14500519,6000208,0,5,"",0,0,"enemy_d1_02","tag_minienemy","","","","",31.859,-0.001,-31.754,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,5,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,3,0,20,"",0,0,0,-1,"","",""
14500520,6000208,0,5,"",0,0,"enemy_d1_03","tag_minienemy","","","","",38.985,0,-32.068,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,5,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,3,0,20,"",0,0,0,-1,"","",""
14500521,6000208,0,5,"",0,0,"enemy_d1_04","tag_minienemy","","","","",31.999,0,-25.194,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,5,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,3,0,20,"",0,0,0,-1,"","",""
14500522,6000208,0,5,"",0,0,"enemy_d1_05","tag_minienemy","","","","",31.465,-0.001,-38.695,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,5,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,3,0,20,"",0,0,0,-1,"","",""
14500523,6000208,0,6,"",0,0,"enemy_p1_01","tag_minienemy","","","","",24.729,0,11.24,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,4,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,1,0,20,"",0,0,0,-1,"","",""
14500524,6000208,0,6,"",0,0,"enemy_p1_02","tag_minienemy","","","","",27.039,0,2.414,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,4,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,1,0,20,"",0,0,0,-1,"","",""
14500525,6000208,0,6,"",0,0,"enemy_p1_03","tag_minienemy","","","","",26.269,0,-6.892,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,4,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,1,0,20,"",0,0,0,-1,"","",""
14500526,6000208,0,6,"",0,0,"enemy_p1_04","tag_minienemy","","","","",11.351,-0.001,-24.411,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,4,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,1,0,20,"",0,0,0,-1,"","",""
14500527,6000208,0,6,"",0,0,"enemy_p1_05","tag_minienemy","","","","",2.339,0,-26.834,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,4,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,1,0,20,"",0,0,0,-1,"","",""
14500528,6000208,0,6,"",0,0,"enemy_p1_06","tag_minienemy","","","","",-7.095,0,-26.091,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,4,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,1,0,20,"",0,0,0,-1,"","",""
14500529,6000208,0,6,"",0,0,"enemy_p1_07","tag_minienemy","","","","",-24.466,-0.001,-11.271,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,4,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,1,0,20,"",0,0,0,-1,"","",""
14500530,6000208,0,6,"",0,0,"enemy_p1_08","tag_minienemy","","","","",-26.908,0,-2.201,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,4,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,1,0,20,"",0,0,0,-1,"","",""
14500531,6000208,0,6,"",0,0,"enemy_p1_09","tag_minienemy","","","","",-11.546,0,24.451,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,4,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,1,0,20,"",0,0,0,-1,"","",""
14500532,6000208,0,6,"",0,0,"enemy_p1_10","tag_minienemy","","","","",-26.087,0,7.274,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,4,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,1,0,20,"",0,0,0,-1,"","",""
14500533,6000208,0,6,"",0,0,"enemy_p1_11","tag_minienemy","","","","",-2.223,0,26.839,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,4,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,1,0,20,"",0,0,0,-1,"","",""
14500534,6000208,0,6,"",0,0,"enemy_p1_12","tag_minienemy","","","","",6.962,0,26.013,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,4,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,1,0,20,"",0,0,0,-1,"","",""
14500535,6000208,0,7,"",0,0,"enemy_p2_01","tag_minienemy","","","","",25.998,0,6.984,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,4,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,1,0,20,"",0,0,0,-1,"","",""
14500536,6000208,0,7,"",0,0,"enemy_p2_02","tag_minienemy","","","","",26.985,0,-2.349,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,4,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,1,0,20,"",0,0,0,-1,"","",""
14500537,6000208,0,7,"",0,0,"enemy_p2_03","tag_minienemy","","","","",24.374,0,-11.588,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,4,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,1,0,20,"",0,0,0,-1,"","",""
14500538,6000208,0,7,"",0,0,"enemy_p2_04","tag_minienemy","","","","",6.963,0,-26.122,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,4,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,1,0,20,"",0,0,0,-1,"","",""
14500539,6000208,0,7,"",0,0,"enemy_p2_05","tag_minienemy","","","","",-2.23,-0.001,-27.008,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,4,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,1,0,20,"",0,0,0,-1,"","",""
14500540,6000208,0,7,"",0,0,"enemy_p2_06","tag_minienemy","","","","",-11.463,-0.001,-24.431,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,4,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,1,0,20,"",0,0,0,-1,"","",""
14500541,6000208,0,7,"",0,0,"enemy_p2_07","tag_minienemy","","","","",-26.229,0,-7.05,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,4,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,1,0,20,"",0,0,0,-1,"","",""
14500542,6000208,0,7,"",0,0,"enemy_p2_08","tag_minienemy","","","","",-26.967,-0.001,2.325,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,4,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,1,0,20,"",0,0,0,-1,"","",""
14500543,6000208,0,7,"",0,0,"enemy_p2_09","tag_minienemy","","","","",-7.054,0,26.196,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,4,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,1,0,20,"",0,0,0,-1,"","",""
14500544,6000208,0,7,"",0,0,"enemy_p2_10","tag_minienemy","","","","",-24.437,0,11.528,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,4,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,1,0,20,"",0,0,0,-1,"","",""
14500545,6000208,0,7,"",0,0,"enemy_p2_11","tag_minienemy","","","","",2.241,0,26.864,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,4,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,1,0,20,"",0,0,0,-1,"","",""
14500546,6000208,0,7,"",0,0,"enemy_p2_12","tag_minienemy","","","","",11.483,0,24.377,-6.482,0.3,0,0.3,2,0.3,1,"symbol01","bn01","",0,0,"",6,1,"",0,0,-1,0,0,360,1,2,2,30,0,0,0,210,4,2,2,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,false,true,true,false,0,0,0,3.5,2,"",0,0.5,0,7,30,4,"",0,1,0,20,"",0,0,0,-1,"","",""
