int32 0,int32 1,int32 2,empty 3,int32 4,int32 5,int32 6,int32 7,int32 8,int32 9,int32 10,int32 11,int32 12,empty 13,int32 14,int32 15,int32 16,int32 17,int32 18,empty 19,int32 20,int32 21,int32 22,int32 23,int32 24,empty 25,int32 26,int32 27,int32 28,int32 29,int32 30,empty 31,int32 32,int32 33,int32 34,int32 35,int32 36,empty 37,int32 38,int32 39,int32 40,int32 41,int32 42,empty 43,int32 44,int32 45,int32 46,int32 47,int32 48,empty 49,int32 50,int32 51,int32 52,int32 53,int32 54,empty 55,int32 56,int32 57,int32 58,int32 59,int32 60,empty 61,int32 62,int32 63,int32 64,int32 65,int32 66,empty 67,int32 68,int32 69,int32 70,int32 71
8390100,83901,0,,-1,0,0,18,0,1,0,0,24493,,20,0,0,1,24494,,0,0,0,0,30036,,0,0,0,0,30066,,0,0,0,0,30126,,0,0,0,0,30156,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,0,0,0,0
8390101,83901,1,,-1,10,0,21,0,0,0,0,24493,,0,0,0,1,24494,,30,0,0,0,30036,,20,0,0,0,30066,,20,0,0,0,30126,,20,0,0,0,30156,,20,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,0,0,0,0
8390102,83901,2,,-1,20,0,19,0,2,0,0,24493,,0,0,0,1,24494,,30,0,0,0,30036,,20,0,0,0,30066,,20,0,0,0,30126,,20,0,0,0,30156,,20,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,0,0,0,0
8390103,83901,3,,-1,30,0,20,0,3,0,0,24493,,20,0,0,1,24494,,0,0,0,0,30036,,0,0,0,0,30066,,0,0,0,0,30126,,0,0,0,0,30156,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,0,0,0,0
8390104,83901,4,,-1,40,0,21,0,3,0,0,24493,,0,0,0,1,24494,,30,0,0,0,30036,,20,0,0,0,30066,,20,0,0,0,30126,,20,0,0,0,30156,,20,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,0,0,0,0
8470100,84701,0,,-1,0,0,0,0,0,0,0,26933,,0,0,0,0,26932,,20,0,0,1,30283,,10,0,0,0,30306,,30,0,0,0,30223,,30,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,5,0,0,0
8470101,84701,1,,-1,10,0,17,0,103,0,0,26933,,0,0,0,0,26932,,20,0,0,0,30283,,10,0,0,0,30306,,30,0,0,0,30223,,10,0,0,0,34021,,30,0,0,0,32201,,30,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,5,0,0,0
8480100,84801,0,,-1,0,0,0,0,0,0,0,26923,,0,0,0,0,26922,,20,0,0,1,30283,,10,0,0,0,30336,,30,0,0,0,32011,,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,10,0,0,0
8480101,84801,1,,-1,10,0,17,0,103,0,0,26923,,0,0,0,0,26922,,20,0,0,0,30283,,10,0,0,0,30336,,30,0,0,0,32011,,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,10,0,0,0
7400300,74003,0,,-1,0,0,0,0,0,0,0,27401,,10,0,0,0,27402,,20,0,0,0,32121,,10,0,0,0,30216,,30,0,0,0,30283,,30,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,30,0,0,0
7400301,74003,1,,-1,10,0,1,0,0,85,0,40001,,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,0,0,0,0
7400302,74003,2,,-1,20,0,15,0,108,0,0,27401,,50,0,0,0,27402,,50,0,0,0,0,,0,0,0,0,30216,,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,5,0,0,0
8600100,86001,0,,-1,0,0,0,0,0,0,0,20951,,30,0,0,0,20952,,20,0,0,0,30193,,30,0,0,0,30213,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,10,0,0,0
8600101,86001,1,,-1,10,0,1,0,0,70,0,40001,,30,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,0,0,0,0
8600102,86001,2,,-1,20,0,15,0,108,0,0,20951,,25,0,0,0,20952,,20,0,0,0,30193,,30,0,0,0,30213,,15,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,10,0,0,0
8610100,86101,0,,-1,0,0,0,0,0,0,0,20481,,25,0,0,0,30213,,15,0,0,0,30203,,25,0,0,0,30253,,20,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,5,0,0,0
6020200,60202,0,,-1,10,0,0,0,0,0,0,26021,,30,0,0,0,30333,,25,0,0,0,30263,,25,0,0,0,33051,,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,5,0,0,0
6160200,61602,0,,-1,0,0,0,0,0,0,0,26161,,50,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,5,0,0,0
6170200,61702,0,,-1,0,0,0,0,0,0,0,26171,,40,0,0,0,34021,,0,0,0,0,30336,,20,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,5,0,0,0
4910200,49102,0,,-1,0,0,0,0,0,0,0,24911,,20,0,0,0,34061,,10,0,0,0,30096,,20,0,0,0,30163,,20,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,20,0,0,0
4910201,49102,1,,-1,10,0,15,0,88,0,0,24911,,20,0,0,0,34061,,0,0,0,0,30096,,20,0,0,0,30163,,20,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,20,0,0,0
7190200,71902,0,,-1,0,0,0,0,0,0,0,27191,,50,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,5,0,0,0
4220200,42202,0,,-1,0,0,0,0,0,0,0,24221,,50,0,0,0,24222,,20,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,5,0,0,0
740200,7402,0,,-1,0,0,0,0,0,0,0,20741,,50,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,5,0,0,0
40200,402,0,,-1,0,0,0,0,0,0,0,20041,,50,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,5,0,0,0
7310200,73102,0,,-1,0,0,0,0,0,0,0,27311,,50,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,5,0,0,0
3740300,37403,0,,-1,0,0,0,0,0,0,0,23741,,30,0,0,0,30173,,30,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,5,0,0,0
7410200,74102,0,,-1,0,0,0,0,0,0,0,27411,,50,0,0,0,27412,,20,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,5,0,0,0
3690200,36902,0,,-1,0,0,0,0,0,0,0,23691,,20,0,0,0,34011,,5,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,20,0,0,0
170300,1703,0,,-1,0,0,0,0,0,0,0,20171,,50,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,5,0,0,0
1340200,13402,0,,-1,0,0,0,0,0,0,0,21341,,20,0,0,0,30223,,30,0,0,0,30013,,10,0,0,0,34021,,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,10,0,0,0
1340201,13402,1,,-1,10,0,15,0,101,0,0,21341,,50,0,0,0,30223,,10,0,0,0,30013,,10,0,0,0,34021,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,0,0,0,0
840200,8402,0,,-1,0,0,0,0,0,0,0,20841,,20,0,0,0,30273,,15,0,0,0,32061,,0,0,0,0,32011,,0,0,0,0,32201,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,5,0,0,0
540200,5402,0,,-1,0,0,0,0,0,0,0,20541,,30,0,0,0,30162,,30,0,0,0,32011,,5,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,10,0,0,0
680200,6802,0,,-1,0,0,0,0,0,0,0,20681,,50,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,5,0,0,0
4080200,40802,0,,-1,0,0,0,0,0,0,0,24082,,50,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,5,0,0,0
920300,9203,0,,-1,0,0,0,0,0,0,0,20921,,30,0,0,0,30263,,30,0,0,0,30273,,20,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,5,0,0,0
1470200,14702,0,,-1,0,0,0,0,0,0,0,21471,,30,0,0,0,30273,,20,0,0,0,70013,,15,0,0,0,30153,,25,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,5,0,0,0
2100200,21002,0,,-1,0,0,0,0,0,0,0,22101,,20,0,0,0,30216,,30,0,0,0,30193,,30,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,5,0,0,0
9560200,95602,0,,-1,0,0,0,0,0,0,0,30063,,40,0,0,0,30293,,30,0,0,0,32221,,20,0,0,0,30053,,30,0,0,0,30303,,40,0,0,0,29561,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,1,0,0,0
9560201,95602,1,,-1,0,1,17,0,103,0,0,30063,,0,0,0,0,30293,,30,0,0,0,32221,,0,0,0,0,30053,,30,0,0,0,30303,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,0,0,0,0
3770200,37702,0,,-1,0,0,0,0,0,0,0,23771,,20,0,0,0,30023,,30,0,0,0,30173,,30,0,0,0,30033,,20,0,0,0,32091,,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,5,0,0,0
7550200,75502,0,,-1,0,0,0,0,0,0,0,27551,,20,0,0,0,30263,,30,0,0,0,31031,,0,0,0,0,30273,,30,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,5,0,0,0
