int32 0,string2 1,string2 2,string2 3,string2 4,string2 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,string2 13,string2 14,string2 15,string2 16,string3 17,int32 18,int32 19,int32 20,string2 21,string2 22,string2 23,int32 24,int32 25,float 26,string3 27,string3 28,string3 29,string3 30,string3 31,string3 32,float 33,float 34,float 35,float 36,float 37,float 38,float 39,float 40,float 41,float 42,float 43,float 44,bool 45,bool 46,int32 47,int32 48,string2 49,float 50,int32 51,float 52,float 53,float 54,float 55,int32 56,float 57,float 58,float 59,float 60,bool 61,bool 62
10100200,"DLC001_dbef_10","DLC001_dbef_50","","","","","","","","","","","","","","","bg_d1002",1,1,1,"","cam01_railcam","dep01d1002p",-99,0,4,"dep01d10","dep01d10npc","dep01d10gim","dep01d10prcs","","dep01d10ctrl",150,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10120200,"DLC001_dbef_10","DLC001_dbef_50","","","","","","","","","","","","","","","bg_d1202",2,1,1,"","cam01_railcam","dep01d1202p",-99,1,4,"dep01d12","dep01d12npc","dep01d12gim","dep01d12prcs","","dep01d12ctrl",150,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10120400,"DLC001_dbef_10","DLC001_dbef_50","","","","","","","","","","","","","","","bg_d1204",2,1,1,"","cam01_railcam","dep01d1204p",-99,1,4,"dep01d12","dep01d12npc","dep01d12gim","dep01d12prcs","","dep01d12ctrl",150,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10130200,"DLC001_dbef_10","DLC001_dbef_50","","","","","","","","","","","","","","","bg_d1302",1,1,1,"","cam01_railcam","dep01d1302p",-99,1,4,"dep01d13","dep01d13npc","dep01d13gim","dep01d13prcs","","dep01d13ctrl",150,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.05,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
10130300,"DLC001_dbef_10","DLC001_dbef_50","","","","","","","","","","","","","","","bg_d1303",1,1,1,"","cam01_railcam","dep01d1303p",-99,1,4,"dep01d13","dep01d13npc","dep01d13gim","dep01d13prcs","","dep01d13ctrl",150,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.05,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
10130400,"DLC001_dbef_10","DLC001_dbef_50","","","","","","","","","","","","","","","bg_d1304",1,1,1,"","cam01_railcam","dep01d1304p",-99,1,4,"dep01d13","dep01d13npc","dep01d13gim","dep01d13prcs","","dep01d13ctrl",150,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.2,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
10140100,"DLC001_dbef_10","DLC001_dbef_50","","","","","","","","","","","","","","","bg_d1401",2,1,1,"","cam01_railcam","dep01d1401p",-99,1,4,"dep01d14","dep01d14npc","dep01d14gim","dep01d14prcs","","dep01d14ctrl",150,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
10140300,"DLC001_dbef_10","DLC001_dbef_50","","","","","","","","","","","","","","","bg_d1403",2,2,1,"","cam01_railcam","dep01d1403p",-99,1,4,"dep01d14","dep01d14npc","dep01d14gim","dep01d14prcs","","dep01d14ctrl",150,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
10140700,"DLC001_dbef_10","DLC001_dbef_50","","","","","","","","","","","","","","","bg_d1407",2,1,9,"","cam01_railcam","dep01d1407p",-99,1,4,"dep01d14","dep01d14npc","dep01d14gim","dep01d14prcs","","dep01d14ctrl",150,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.2,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
10500100,"DLC001_dbef_10","","","","","","","","","","","","","","","","bg_d5001",1,1,2,"","cam01_railcam","dep01d5001p",-99,1,4,"dep01d50","dep01d50npc","dep01d50gim","dep01d50prcs","","dep01d50ctrl",150,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
10500101,"DLC001_dbef_20","DLC001_dbef_50","","","","","","","","","","","","","","","bg_d5001",1,1,2,"","cam01_railcam","dep01d5001p",-99,1,4,"dep01d50","dep01d50npc","dep01d50gim","dep01d50prcs","","dep01d50ctrl",150,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
10500200,"DLC001_dbef_10","DLC001_dbef_50","","","","","","","","","","","","","","","bg_d5002",1,1,2,"","cam01_railcam","dep01d5002p",-99,1,4,"dep01d50","dep01d50npc","dep01d50gim","dep01d50prcs","","dep01d50ctrl",150,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
10500300,"DLC001_dbef_10","DLC001_dbef_50","","","","","","","","","","","","","","","bg_d5003",1,1,1,"","cam01_railcam","dep01d5003p",-99,1,4,"dep01d50","dep01d50npc","dep01d50gim","dep01d50prcs","","dep01d50ctrl",150,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
12000700,"DLC001_dbef_10","DLC001_dbef_50","","","","","","","","","","","","","","","bg_e0007",1,1,1,"","cam01_railcam","dep01e0007p",-99,1,4,"dep01e00","dep01e00npc","dep01e00gim","dep01e00prcs","","dep01e00ctrl",150,200,0.06,0.06,0.06,0.01,0.01,0.01,0,50,10,0.1,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
