int32 0,empty 1,empty 2,empty 3,int32 4,int32 5,int32 6,bool 7,bool 8,int32 9,int32 10,int32 11,int32 12,empty 13,int32 14,empty 15,int32 16,empty 17,int32 18,empty 19,int32 20,int32 21,int32 22,int32 23,int32 24,int32 25,int32 26,int32 27,int32 28,int32 29,int32 30,int32 31,int32 32,int32 33,int32 34,int32 35,int16 36,int16 37,int32 38,int8 39,int8 40,int8 41,int8 42,int8 43,int8 44,int16 45,int32 46,int32 47,empty 48,int16 49,int16 50,empty 51,int32 52,empty 53,int32 54,empty 55,int32 56,empty 57,int32 58,empty 59,int32 60,int32 61,empty 62,int32 63,int32 64,empty 65,int32 66,empty 67,int32 68,empty 69,int32 70,empty 71,string2 72
24872,,,,24872,0,24872,true,true,30161,4,1,24872,,0,,12010,,0,,0,2,1,80,100,1,0,0,8,15,-1,-1,-1,5,1,1,200,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24873,,,,24872,0,24873,true,false,0,4,1,24872,,0,,12010,,0,,0,2,1,135,100,1,0,3,8,15,-1,-1,-1,5,1,1,200,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24881,,,,24881,0,24881,true,true,30131,3,1,24881,,0,,12007,,0,,0,2,1,95,100,1,0,0,5,14,-1,-1,-1,1,1,1,230,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24882,,,,24882,0,24882,true,true,30011,4,1,24882,,0,,12003,,0,,0,2,1,90,100,1,0,0,1,19,-1,-1,-1,1,1,1,250,5,0,0,100,1,5,0,0,0,2,2,,0,0,,105000,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24883,,,,24881,0,24883,true,false,0,3,1,24881,,0,,12007,,0,,0,2,1,150,100,1,0,0,5,14,-1,-1,-1,1,1,1,255,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,110100,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
27702,,,,27702,0,27702,true,false,0,2,1,12001,,0,,32141,,0,,1,5,0,0,100,0,0,0,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,100,0,0,0,0,0,0,0,,0,0,,0,,577021,,577022,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
27703,,,,27703,0,27703,true,false,0,16,4,12001,,0,,32131,,0,,1,5,0,0,100,0,0,0,-1,-1,-1,-1,-1,10,1,1,0,0,0,0,100,0,0,0,0,0,0,0,,0,0,,0,,577031,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
27704,,,,27701,0,27704,true,false,0,3,1,27701,,0,,12003,,0,,0,2,1,210,100,1,0,0,1,7,-1,-1,-1,1,1,1,255,5,0,0,100,1,5,0,0,0,13,4,,0,0,,0,,0,,125020,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
27713,,,,27713,0,27713,true,false,0,2,1,12001,,0,,32011,,0,,1,5,0,0,100,0,0,0,-1,-1,-1,-1,-1,10,1,1,0,0,0,0,100,0,0,0,0,0,0,0,,0,0,,0,,577131,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
28621,,,,20881,0,28621,true,true,30011,3,1,20881,,0,,12003,,0,,0,2,1,80,100,1,0,0,1,24,-1,-1,-1,5,1,1,440,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
28622,,,,20882,0,28622,true,true,30101,4,1,20882,,0,,12004,,0,,0,2,1,100,100,1,0,0,2,13,-1,-1,-1,1,1,1,305,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
51001,,,,51001,-1,0,true,false,0,16,1,0,,0,,0,,0,,0,0,0,0,100,0,0,0,0,-1,-1,-1,-1,10,1,1,0,0,0,1,100,0,0,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,"battle_skill_idle"
