string2 0,int32 1,int32 2,int32 3,string2 4,int32 5,int32 6,string2 7,string2 8,int32 9
"FLAG_DLC_EP02_036",29336,3200,30,"dep02d",5001,0,"start_00","DLC002_dbef_30",1
"FLAG_DLC_EP02_037",29337,3200,30,"dep02d",5001,0,"start_00","DLC002_dbef_30",1
"FLAG_DLC_EP02_038",29338,3200,30,"dep02d",5001,0,"start_00","DLC002_dbef_30",1
"FLAG_DLC_EP02_039",29339,3200,30,"dep02d",5001,0,"start_00","DLC002_dbef_30",1
"FLAG_DLC_EP02_040",29340,3200,30,"dep02d",5001,0,"start_00","DLC002_dbef_30",1
"FLAG_DLC_EP02_041",29341,3200,30,"dep02d",5001,0,"start_00","DLC002_dbef_30",1
"FLAG_DLC_EP02_042",29342,3200,40,"dep02d",5004,0,"start_01","DLC002_dbef_40",1
"FLAG_DLC_EP02_043",29343,3200,40,"dep02d",5004,0,"start_01","DLC002_dbef_40",1
"FLAG_DLC_EP02_044",29344,3200,40,"dep02d",5004,0,"start_01","DLC002_dbef_40",1
"FLAG_DLC_EP02_045",29345,3200,40,"dep02d",5004,0,"start_01","DLC002_dbef_40",1
"FLAG_DLC_EP02_046",29346,3200,40,"dep02d",5004,0,"start_01","DLC002_dbef_40",1
"FLAG_DLC_EP02_047",29347,3200,40,"dep02d",5004,0,"start_01","DLC002_dbef_40",1
"FLAG_DLC_EP02_048",29348,3200,40,"dep02d",5004,0,"start_01","DLC002_dbef_40",1
"FLAG_DLC_EP02_049",29349,3200,40,"dep02d",5004,0,"start_01","DLC002_dbef_40",1
"FLAG_DLC_EP02_050",29350,3200,40,"dep02d",5004,0,"start_01","DLC002_dbef_40",1
"FLAG_DLC_EP02_051",29351,3200,40,"dep02d",5004,0,"start_01","DLC002_dbef_40",1
"FLAG_DLC_EP02_052",29352,3200,40,"dep02d",5004,0,"start_01","DLC002_dbef_40",1
"FLAG_DLC_EP02_053",29353,3200,40,"dep02d",5004,0,"start_01","DLC002_dbef_40",1
"FLAG_DLC_EP02_054",29354,3200,40,"dep02d",5004,0,"start_01","DLC002_dbef_40",1
"FLAG_DLC_EP02_055",29355,3200,40,"dep02d",5004,0,"start_01","DLC002_dbef_40",1
"FLAG_DLC_EP02_056",29356,3200,40,"dep02d",5004,0,"start_01","DLC002_dbef_40",1
"FLAG_DLC_EP02_057",29357,3200,40,"dep02d",5004,0,"start_01","DLC002_dbef_40",1
"FLAG_DLC_EP02_058",29358,3200,40,"dep02d",5004,0,"start_01","DLC002_dbef_40",1
"FLAG_DLC_EP02_059",29359,3200,40,"dep02d",5004,0,"start_01","DLC002_dbef_40",1
"FLAG_DLC_EP02_060",29360,3200,40,"dep02d",5004,0,"start_01","DLC002_dbef_40",1
"FLAG_DLC_EP02_061",29361,3200,40,"dep02d",5004,0,"start_01","DLC002_dbef_40",1
"FLAG_DLC_EP02_062",29362,3200,40,"dep02d",5004,0,"start_01","DLC002_dbef_40",1
"FLAG_DLC_EP02_063",29363,3200,50,"dep02d",5005,0,"start_00","DLC002_dbef_50",1
"FLAG_DLC_EP02_064",29364,3200,50,"dep02d",5005,0,"start_00","DLC002_dbef_50",1
"FLAG_DLC_EP02_065",29365,3200,50,"dep02d",5005,0,"start_00","DLC002_dbef_50",1
"FLAG_DLC_EP02_066",29366,3200,50,"dep02d",5005,0,"start_00","DLC002_dbef_50",1
"FLAG_DLC_EP02_067",29367,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP02_068",29368,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP02_069",29369,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP02_070",29370,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP02_071",29371,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP02_072",29372,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP02_073",29373,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP02_074",29374,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP02_075",29375,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP02_076",29376,-1,0,"t",101,0,"start_01","FirstPresent",1
"FLAG_DLC_EP02_077",29377,-1,0,"t",101,0,"start_02","FirstPresent",1
"FLAG_DLC_EP02_078",29378,-1,0,"t",101,0,"start_03","FirstPresent",1
"FLAG_DLC_EP02_079",29379,-1,0,"t",101,0,"start_04","FirstPresent",1
"FLAG_DLC_EP02_080",29380,-1,0,"t",101,0,"start_05","FirstPresent",1
"FLAG_DLC_EP02_081",29381,-1,0,"t",101,0,"start_05","FirstPresent",1
"FLAG_IS_CLEAR_DLC020_010",29400,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP02_IS_RETURNLOBBY",29501,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP02_BTL010",29510,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP02_BTL020",29520,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP02_BTL021",29521,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP02_BTL030",29530,3200,20,"dep02d",5004,0,"start_01","DLC002_dbef_20",1
"FLAG_DLC_EP02_BTL040",29540,3200,20,"dep02d",5004,0,"start_01","DLC002_dbef_20",1
"FLAG_DLC_EP02_BTL050",29550,3200,20,"dep02d",5004,0,"start_01","DLC002_dbef_20",1
"FLAG_DLC_EP02_BTL060",29560,3200,50,"dep02d",5005,0,"start_00","DLC002_dbef_50",1
"FLAG_DLC_EP02_BTL070",29570,3200,20,"dep02d",5004,0,"start_01","DLC002_dbef_20",1
