encounter_group_id,empty_001,primary_enemy_id,empty_003,empty_004,empty_005,enemy_slot_01_rate,enemy_slot_01_type,enemy_slot_01_param_a,enemy_slot_01_param_b,enemy_slot_01_param_c,enemy_slot_01_param_d,enemy_slot_01_param_e,enemy_slot_01_count,enemy_slot_01_enemy_id,empty_015,empty_016,empty_017,enemy_slot_02_rate,enemy_slot_02_type,enemy_slot_02_param_a,enemy_slot_02_param_b,enemy_slot_02_param_c,enemy_slot_02_param_d,enemy_slot_02_param_e,enemy_slot_02_count,enemy_slot_02_enemy_id,empty_027,empty_028,empty_029,enemy_slot_03_rate,enemy_slot_03_type,enemy_slot_03_param_a,enemy_slot_03_param_b,enemy_slot_03_param_c,enemy_slot_03_param_d,enemy_slot_03_param_e,enemy_slot_03_count,enemy_slot_03_enemy_id,empty_039,empty_040,empty_041,enemy_slot_04_rate,enemy_slot_04_type,enemy_slot_04_param_a,enemy_slot_04_param_b,enemy_slot_04_param_c,enemy_slot_04_param_d,enemy_slot_04_param_e,enemy_slot_04_count,enemy_slot_04_enemy_id,empty_051,empty_052,empty_053,enemy_slot_05_rate,enemy_slot_05_type,enemy_slot_05_param_a,enemy_slot_05_param_b,enemy_slot_05_param_c,enemy_slot_05_param_d,enemy_slot_05_param_e,enemy_slot_05_count,enemy_slot_05_enemy_id,empty_063,empty_064,empty_065,enemy_slot_06_rate,enemy_slot_06_type,enemy_slot_06_param_a,enemy_slot_06_param_b,enemy_slot_06_param_c,enemy_slot_06_param_d,enemy_slot_06_param_e,enemy_slot_06_count,enemy_slot_06_enemy_id,battle_event_key,unk_int32_076,empty_077,unk_int32_078,empty_079,unk_int32_080,empty_081,unknown_bool_082,unknown_bool_083,unknown_bool_084,unk_int32_085
6000113,,71902,,,,100,2,55,100,100,0,0,1,73102,,,,100,2,55,100,100,0,0,1,-1,,,,30,2,14,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,1502,,false,false,false,1
6000114,,42203,,,,100,2,65,100,100,0,0,1,-1,,,,75,2,14,100,100,0,0,1,-1,,,,30,2,14,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,1502,,false,false,false,1
6000115,,37403,,,,100,2,55,100,100,0,0,1,74003,,,,100,2,60,100,100,0,0,1,37403,,,,100,2,55,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,1502,,false,false,false,1
6000116,,74102,,,,100,2,60,100,100,0,0,1,-1,,,,100,2,60,100,100,0,0,1,-1,,,,100,2,55,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,1501,,false,false,false,1
6000117,,13402,,,,100,2,55,100,100,0,0,1,13402,,,,100,2,55,100,100,0,0,1,-1,,,,100,2,55,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,1501,,false,false,false,1
6000118,,36902,,,,100,2,50,100,100,0,0,1,1704,,,,100,2,50,100,100,0,0,1,-1,,,,100,2,55,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,1501,,false,false,false,1
6000119,,8402,,,,100,2,55,100,100,0,0,1,-1,,,,100,2,50,100,100,0,0,1,-1,,,,100,2,55,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"battle_6000114",-1,,1,,807,,false,false,false,1
6000120,,5402,,,,100,2,50,100,100,0,0,1,-1,,,,100,2,50,100,100,0,0,1,-1,,,,100,2,55,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"battle_6000114",-1,,1,,807,,false,false,false,1
6000121,,6802,,,,100,2,50,100,100,0,0,1,6802,,,,100,2,50,100,100,0,0,1,-1,,,,100,2,55,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"battle_6000114",-1,,1,,807,,false,false,false,1
6000122,,40802,,,,100,2,55,100,100,0,0,1,40802,,,,100,2,55,100,100,0,0,1,-1,,,,100,2,55,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,1501,,false,false,false,1
6000123,,21004,,,,100,2,55,100,100,0,0,1,21004,,,,100,2,55,100,100,0,0,1,-1,,,,100,2,55,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,1501,,false,false,false,1
6000124,,37703,,,,100,2,60,100,100,0,0,1,37703,,,,100,2,60,100,100,0,0,1,37703,,,,100,2,60,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,1501,,false,false,false,1
6000125,,75502,,,,100,2,60,100,100,0,0,1,75502,,,,100,2,60,100,100,0,0,1,75502,,,,100,2,60,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,1501,,false,false,false,1
