int32 0,int32 1,empty 2,int32 3,int32 4,int32 5,int32 6,int32 7,int32 8,int32 9,int32 10,int32 11,int32 12,int32 13,int32 14,empty 15,int32 16,int32 17,empty 18,int32 19,float 20,int32 21,string2 22,string2 23,int32 24,int32 25,int32 26,string2 27,int32 28,string2 29,string2 30,string2 31,int32 32,string2 33,string2 34,string2 35,string2 36,string2 37,string2 38,string2 39,string2 40,string2 41,string2 42,string2 43,string2 44,string2 45,string2 46,string2 47,string2 48,empty 49
530120,530,,120,50,55,-1,-1,-1,60,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530080,"dep03d1002","evt_0001",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
530130,530,,130,60,-1,-1,-1,-1,65,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530090,"dep03d1002","DLCEP3_doorcol_02",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
530140,530,,140,65,-1,-1,-1,-1,70,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530070,"dep03d5006","DLCEP3_doorcol_06",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
530150,530,,150,70,-1,-1,-1,-1,71,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530100,"dep03d1301","evt_0001",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
530160,530,,160,71,-1,-1,-1,-1,72,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530100,"dep03d1301","evt_0002",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
530170,530,,170,72,-1,-1,-1,-1,75,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530100,"dep03d1301","evt_0003",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
530180,530,,180,75,-1,-1,-1,-1,80,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530110,"dep03d1301","DLCEP3_doorcol_01",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
530190,530,,190,85,-1,-1,-1,-1,86,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530100,"dep03d1301","evt_0001",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
530200,530,,200,86,-1,-1,-1,-1,87,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530100,"dep03d1301","evt_0002",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
530210,530,,210,87,-1,-1,-1,-1,90,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530100,"dep03d1301","evt_0003",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
530220,530,,220,90,-1,-1,-1,-1,95,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530110,"dep03d1301","DLCEP3_doorcol_01",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
530230,530,,230,95,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530060,"dep03d5006","DLCEP3_doorcol_05",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
530240,530,,240,100,-1,-1,-1,-1,105,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530080,"dep03d1002","evt_0001",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
530250,530,,250,105,-1,-1,-1,-1,110,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530090,"dep03d1002","DLCEP3_doorcol_02",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
530260,530,,260,80,110,-1,-1,-1,120,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530120,"dep03d5006","DLCEP3_doorcol_08",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
530270,530,,270,120,-1,-1,-1,-1,125,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530130,"dep03d1001","DLCEP3_doorcol_08",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
530280,530,,280,125,-1,-1,-1,-1,130,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530140,"dep03d1104","DLCEP3_doorcol_08",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
530290,530,,290,130,-1,-1,-1,-1,140,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530160,"dep03d5006","DLCEP3_giesx_01",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
530291,530,,291,130,-1,-1,-1,-1,145,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530170,"dep03d5006","DLCEP3_dukux_01",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
530292,530,,292,130,-1,-1,-1,-1,150,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530180,"dep03d5006","DLCEP3_arufox_01",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
530293,530,,293,130,-1,-1,-1,-1,155,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530190,"dep03d5006","DLCEP3_magunax_01",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
530300,530,,300,140,145,150,155,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530200,"dep03d5006","DLCEP3_omegamon_02",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
