string2 0,string 1
"tutorial_exp_Personality_01_001","This is an important factor that determines a Digimon's development.
Personality type determines which stats are more likely to receive
an increase.

Valor: {fc9ATK} increases easily, physical attacker type.
Amicability: {fc9DEF} increases easily, supporter type.
Philanthropy: {fc9SPI} increases easily, healer type.
Wisdom: {fc9INT} increases easily, magic attacker type.

{fc9To check personality, display ""Digimon Personality Type"" using
{sub2} Toggle Info while the Digimon's status is open.}"
"tutorial_exp_Personality_01_002","Personality type influences a Digimon in several ways.

{fc9- It makes certain stats grow more.
- It changes the types of Personality Skills.
- It changes the impact of Strike Effect.}

Decide your Digimon's personality type according to the direction
you wish to develop it in."
"tutorial_exp_Personality_01_003","A Digimon's initial personality type is determined when it's converted.

Which personality type a Digimon will be born with is unknown, but
there seems to be a certain trend for each Digimon type.

{fc9Personality types can also be changed afterward.}
Every Digimon has a unique personality."
"tutorial_exp_PersonalityChange_01_001","{fc9The personality type of partner Digimon can be changed.}

Personality will change bit by bit via training on the Digifarm, or
depending on the content of your conversations or Digiline
interactions with the partner Digimon.

Though this takes time, your active communication is essential when
aiming to change personalities."
"tutorial_exp_PersonalitySkill_01_001","""Personality Skills"" are passive skills tied to the partner Digimon's
Personality type.

Some Personality skills bring about various effects depending on
Personality type.

{fc9You can check a partner Digimon's Personality skill in its stats.}"
"tutorial_exp_PersonalitySkillChange_01_001","Partner Digimon are capable of changing their Personality Skill.

In this situation, the partner Digimon will get an idea for a Personality
Skill and ask if it should make a change.

{fc9You should decide whether the Digimon keeps its current Personality
Skill or changes to the new one that it has suggested.}"
"tutorial_exp_DataReturn_01_001","Unfortunately, there will be times when you must say farewell
to your partner Digimon.

In order to do so, select ""Return to Data"" to return the Digimon
to its underlying data and convert it into funds.

{fc9Note that you'll permanently lose any Digimon that you
return to data.} Make sure to be careful when using this feature."
"tutorial_exp_Synthetic_01_001","This feature allows you to transfer one Digimon's data to another
through synthesis.

{fc9The resource data (material) Digimon will beconverted into EXP to
be absorbed by the base data Digimon. A portion of its Talent and
cumulative stats will also be inherited.}

The source Digimon will be converted into data that is passed on to
the next Digimon."
"tutorial_exp_PartyAegiomon_01_001","Aegiomon has joined you as an ally in battle.

Aegiomon is a guest member of a somewhat special nature.

{fc9Although Aegiomon can't replace other
Digimon, you are able to give him orders.
He can also equip Attachment Skills and
equipment.}"
"tutorial_exp_PartyAegiomon_02_001","{fc9""Digivolution"" has been added to Aegiomon's battle commands.}

He can now undergo a special Digivolution only when in battle.

{fc9Aegiomon is able to equip the Crimson Dragon Data Fragment to
start the battle in a special Digivolved state.}

The power of Iliad's treasure has unlocked Aegiomon's potential,
meaning his true development starts now."
"tutorial_exp_Friendship_01_001","Bond Points are a numerical representation of your relationship with
your partner Digimon.

Bond Points increase slightly over the course of your adventures
with the Digimon.

{fc9The more Bond Points a Digimon has, the more times it is able to
inherit a cumulative value when Digivolving and De-Digivolving,
thereby boosting its stats (up to 100 times max). Additionally,
Bond Points do not decrease with De-Digivolution.}"
"tutorial_exp_Friendship_01_002","How to Increase Bond Points

- Participate in battles.
- Talk to partner Digimon.
- Feed the Digimon at the farm."
"tutorial_exp_Talent_01_001","Talent is a numerical representation of a
Digimon's level limit. {fc9A Digimon's Talent
increases upon Digivolving, and increases even
further when frequently participating in battle.
Furthermore, Talent does not decrease when
Digivolving or De-Digivolving.} Therefore, it
is possible to develop even more powerful
Digimon through repeated Digivolution and
De-Digivolution."
"tutorial_exp_Talent_01_002","How to Increase the Number of Talent Points Earned

- Participate in battles.
- Finish off an enemy.
- Strike an enemy's weak point.
- Win a battle without taking damage.
- Train at the farm."
"tutorial_exp_BondsPoint_01_001","ADAMAS assigns a numerical value known as Anomaly Points to
help visualize the EXP that agents earn when completing missions. 

{fc9These points are needed to learn Agent Skills.}

Therefore, gain as much experience as possible with your Digimon
in order to develop your abilities even further."
"tutorial_exp_BondsSkill_01_001","This system lets agents use Anomaly Points to expand their abilities
and enhance their partner Digimon.

{fc9Bonds of Loyalty}: Expands an agent's abilities and enhances all
Digimon.
{fc9Bonds of Valor}: Enhances Digimon with Valor-type personalities.
{fc9Bonds of Philanthropy}: Enhances Digimon with Philanthropy-type
personalities.
{fc9Bonds of Amicability}: Enhances Digimon with Amicability-type
personalities.
{fc9Bonds of Wisdom}: Enhances Digimon with Wisdom-type
personalities.

Learn Agent Skills in order to boost your capabilities."
"tutorial_exp_AgentLevel_01_001","This is a numerical representation of an agent's career and skill level.

{fc9Your Agent Rank increases the more you use Anomaly Points
to learn Agent Skills.} 

Your Agent Rank is linked to a number of different features, such as:
- Agent Skill effect amplification.
- Partner Digimon Digivolution conditions.

Keep working to constantly boost your rank."
"tutorial_exp_CrossArtsChange_01_001","{fc9You can learn new Cross Arts via ""Bond of Loyalty"" Agent Skills.}

Change between Cross Arts you have learned by navigating to
Agent > Cross Arts on your Digivice.

Select a Cross Art with effects suitable to your battle strategy."
"tutorial_exp_Encounter_01_001","Make contact with a Digimon, and you will enter battle.

While it can be harsh and unforgiving, the experience obtained
in battle is essential. From helping develop your Digimon, to
increasing Scan Rates for Digimon Conversion, battle is key
to overcoming the challenges that await you on your mission.

Actively engage in combat and grow srong, Agent."
"tutorial_exp_FieldAttack_01_001","This field action enables your partner Digimon to utilize a skill attack.

{fc9It can be used as a preemptive strike against a hostile Digimon, or to
destroy or activate objects.}

Use {r2} DigiAttack to give orders to your partner Digimon."
"tutorial_exp_FieldAttack_01_002","{fc9Skill attacks used by a partner Digimon during DigiAttacks reflect the
skill's damage and element effects.}

The most effective partner Digimon attack is automatically selected.

{fc9Digiattack skill attacks do not consume SP,} so use them
aggressively in order to start the battle with an advantage."
"tutorial_exp_FieldAttack_02_001","{fc9Some objects must be hit with DigiAttacks featuring skill attacks
of certain elements.}

If your attacks are failing, try making a change to your partner
Digimon's Attachment Skills."
"tutorial_exp_BackAttack_01_001",""
"tutorial_exp_Convert_02_001","Increasing the Analysis Rate of enemy Digimon through battle
will eventually allow you to Convert those Digimon. Conversion
allows you to welcome these Digimon as new allies."
"tutorial_exp_Treasurechest_01_001","You can obtain items that are useful for completing your mission.

Treasure Chests
These contain Support Items that can be used only by agents.

Materials
Specific locations let you procure materials and other items.

{fc9Use Analyze Mode to help detect and locate these.} If you find
one, make sure to collect its contents."
"tutorial_exp_Theater_01_001","This special theater exists between time and space and is managed
by the mysterious individual known as ""Mirei."" 

It includes various features that are useful for agents and also allow
partner Digimon to recover their health.

Entrances to this space can be found in various locations.
{fc9These entrances will be registered on the navigation map once you
discover them.}"
"tutorial_exp_Dungeon_01_001","This term is given to areas within phase electron space that are
scattered across the world. Among them, the Outer Dungeons from
Ages Past are said to contain some of the most difficult trials ever.
Although not required, it's recommended that you clear them and
obtain the many rewards within.

{fc9The Outer Dungeons are entered in the registry once discovered.
Speak to Mirei in the In-Between Theater to take them on.}"
"tutorial_exp_DigivaiceConstraints_01_001","The mission section of the Outer Dungeons
prevents most features of your Digivice from
working, although its full functionality will be
restored once you complete a mission."
"tutorial_exp_PecmonRace_01_001","This competition has you ride atop a Peckmon to complete the race
before your rivals.

Please heed the following:
- Eating Digimeat boosts your speed and gives you temporary
invincibility.
- Hitting an opponent or obstacle slows you down.
- Although all Peckmon are well-trained and in good health, the
administrators accept no responsibility for any possible accidents."
"tutorial_exp_PopPoints_01_001","These areas provide the agent with useful items. Be sure to
examine them whenever you find one of these locations."
"tutorial_exp_DigimonRide_01_001","Press or hold ""{r1} DigiRide"" to ride atop a partner Digimon.

{fc9You can DigiAttack and Analyze while DigiRiding.} {fc9You can also
DigiAttack by colliding with hostile Digimon or objects.}

DigiRides may be used with various Digimon, so give it a try
whenever you get a new Digimon."
"tutorial_exp_GimmickRide_01_001","This field action enlists the aid of nearby Digimon to help traverse
terrain that you would normally be unable to cross, making it vital
to completing your mission. {fc9DigiCo-Op ride locations are marked
with a special icon on the Map.}

If you ever find yourself at a loss as to how to proceed, try
searching for a Digimon in the vicinity that can offer assistance."
"tutorial_exp_OutoRecovery_01_001","This is an auto-recovery program for your partner Digimon.

{fc9The program boots up when you're standing still and restores your
Digimon's HP and SP.}

Whenever you find a safe location, be sure to use this program to
recuperate before returning to your mission."
"tutorial_exp_FieldAnalysis_01_001","This mode lets your Digivice display various kinds of information 
that cannot be seen with the naked eye alone.

{fc9- See which objects can be targeted with a DigiAttack.
- View details regarding a hostile Digimon (use {sub2}).
- Search for treasure chests and materials.}

While in Analyze Mode, you can perform 
DigiAttacks on hostile Digimon and objects."
"tutorial_exp_FieldAnalysis_01_002","Reference Video: Analyze Mode
Controls Hostile Digimon and breakable objects will be
highlighted. Use {rs} to adjust your field of vision
and to also switch between targets."
"tutorial_exp_FieldAnalysis_01_003","Reference Video: Detailed Digimon Information
Align the cursor with a Digimon and press {decision} to
view detailed information about it."
"tutorial_exp_HowToMove_01_001",""
"tutorial_exp_Destination_01_001","Your current objective will be displayed as a guide marker on the map.

{fc9Use the {menu} Navigation feature to keep the enlarged Map and mission 
objective displayed on-screen as you move around.}"
"tutorial_exp_MiniMap_01_001",""
"tutorial_exp_DigimonHighlighting_01_001","Your Digivice has been updated.

The navigation map has been upgraded, and the positions of hostile
Digimon are now indicated with red markers."
"tutorial_exp_WorldMapRialWorld_01_001","You have the ability to move between selected locations
on the World Map.

New locations will be added as you complete missions."
"tutorial_exp_WorldMapRokomon_01_001",""
"tutorial_exp_WorldMapBlimpmon_01_001",""
"tutorial_exp_WorldMapTimeChange_01_001","You can now jump between different timelines.

{fc9Access the In-Between Theater exit and select a location to time
jump to. You can also return to your previous timeline.}

Use this feature to help complete side missions that you have not
finished yet."
"tutorial_exp_Digivaice_01_001","This handheld terminal represents the pinnacle of ADAMAS
technology and includes numerous functions that are helpful
for completing missions. Any information you come across
during a mission is stored in your Digivice, making it a useful
tool when carrying out your duties."
"tutorial_exp_ChangeClothes_01_001",""
"tutorial_exp_PictureBook_01_001","This database features info on Digimon that you have come into
contact with and is found under Agent > Field Guide on your Digivice.

{fc9Digimon Discovered}
Digimon that you have defeated in battle or with DigiAttacks. Most
of the details remain unidentified.

{fc9Registered Digimon}
Digimon that you have partnered with. You can also view detailed
info such as their profiles."
"tutorial_exp_MeinQuest_01_001","Your primary mission, deemed critical priority under orders from
ADAMAS. Failure to complete the mission may result in the end
of the world as we know it.

Agent, be sure to conduct your mission with utmost care."
"tutorial_exp_SubQuest_01_001","This is the term given to requests made by local residents
in real time. Once a side mission is detected, you will be notified
via Digiline.

{fc9You can prioritize missions by going to Missions > Side Missions on
your Digivice and then using ""{decision} Mark Objective"" to make
your choice.}

Make sure that these requests do not interfere with your main duties."
"tutorial_exp_SubQuest_01_002","""All Things in Good Time"" This is an important concept for
side missions.

Difficult missions may be easier after gaining some experience.

{fc9Also, there is no need to stress about side missions that have to be
put off to fulfill the main mission. There will always be an opportunity
to complete them later.}"
"tutorial_exp_MiniQuest_01_001",""
"tutorial_exp_ChangeQuest_01_001",""
"tutorial_exp_Digitter_01_001","This messaging function is built into your Digivice.

Your Digivice can send you important information regarding
tutorials, missions and more.

{fc9You can view previously received messages via
Digiline on your Digivice.}

Make use of this feature whenever you're having trouble."
"tutorial_exp_Shop_01_001",""
"tutorial_exp_FarmGoodsShop_01_001",""
"tutorial_exp_TutorialDescription_01_001",""
"tutorial_exp_Player_01_001",""
"tutorial_exp_SystemDescription_01_001",""
"tutorial_exp_DigisterDescripution_01_001","You can enhance a partner Digimon's stats or change its personality
by placing them in this facility.
{fc9They will receive the same EXP as Digimon in the box.}

Migrate Digimon
First, let's move the Digimon to the Digifarm.
{fc9No matter which panel you position the Digimon in, their training will
not be affected, so feel free to place the Digimon wherever you like.}"
"tutorial_exp_DigisterDescripution_01_002","Interacting with Digimon
Training: You can use training items to strengthen stats that  can't be
increased via ordinary level-ups and also change their personality.
{fc9You can use the same training items an unlimited number of times.}
{fc9Note that simply placing a Digimon at the farm will not train it.}

Feeding: Giving food to Digimon will increase its Bond Points.
giving a Digimon their favorite food, will further increase Bond Points.
Note that favorite foods may differ even amongst same type Digimon."
"tutorial_exp_DigisterDescripution_01_003","Finding Materials
Your Digimon may find materials while at the farm. It takes some
time to find materials, so it's recommended that you visit the farm
in between your adventures.

Positioning Farm Items
You can freely customize your farm.
{fc9This doesn't affect Digimon training.}"
"tutorial_exp_AddFarmIslandPanel_01_001",""
"tutorial_exp_AddFarmDigimon_01_001",""
"tutorial_exp_AddFarmGoods_01_001",""
"tutorial_exp_FarmSpecialTraining_01_001",""
"tutorial_exp_FarmDigicare_01_001",""
"tutorial_exp_FarmDevelopment_01_001",""
"tutorial_exp_CardsDescription_01_001","The Jogmon Ultimate Card Game (JUCG) is a popular card game
in which players fight each other in Jogmon battles using cards.

Opponents are displayed as icons on the navigation map.
{fc9For detailed rules, please refer to ""JUCG Card Game Rules.""}"
"tutorial_exp_CardsDescription_01_002","You can collect cards by competing in battles or purchasing them in
the Card Shop. You can also acquire new cards by defeating hostile
Digimon.

{fc9You can see the cards you have collected under Agent > Cards
on your Digivice.}

Collecting all the cards is not an easy task, but the game's collectible
nature keeps many players hooked. Will you be able to complete your
card collection?"
"tutorial_exp_CardsRule_01_001","[Game Rules]
Players take turns to play a card each, and the selected Jogmon will
be generated to do battle against each other.

Defeat your Rival's Jogmon to win a round.
{fc9Each card battle lasts five rounds, and the player with the most
rounds won is the victor.}"
"tutorial_exp_CardsRule_01_002","[Factors for Winning a Jogmon Battle]
""Attribute Compatibility""
A card's chances of winning depend on its Attribute compatibility.
{fc9The more favorable the compatibility, the greater the chances.}"
"tutorial_exp_CardsRule_01_003","[Factors for Winning a Jogmon Battle]
""Level""
Cards are labeled with a number from 1 to 7, indicating the Level
(or strength) of the card.

Cards with a higher Level have a greater chance of winning.
{fc9However, there is a bug causing Level 1 cards to have a greater
chance of winning against Level 7 cards.}"
"tutorial_exp_CardsRule_01_004","[Mysterious Duplication after JUCG Battles]
{fc9After a card battle, used cards which you have yet to obtain are
duplicated for you to choose from.}

The more rounds you win, the more cards you can receive.
5 wins = 3 cards
3–4 wins = 2 cards
1–2 wins = 1 card
0 wins = 0 cards"
"tutorial_exp_CardsRule_01_005","[Infinite Generation via Extra Card Summon]
{fc9During a card battle, when certain combinations of cards are present
in your hand, a new card will be generated.}

Examples of combinations:
2 cards of the same Attribute
2 cards of the same Generation (from In-Training I to Champion)

There are powerful cards available only by summoning via secret
combinations not mentioned here."
"tutorial_exp_CardsOpponent_01_001",""
"tutorial_exp_TriviaMisonoInori_01_001",""
"tutorial_exp_TriviaMisonoKousuke_01_001",""
"tutorial_exp_TriviaMisonoKousuke_02_001",""
"tutorial_exp_TriviaSagisakaHiroko_01_001",""
"tutorial_exp_TriviaSagisakaHiroko_02_001",""
"tutorial_exp_TriviaKuremiKoudai_01_001",""
"tutorial_exp_TriviaShirokiAsuna_01_001",""
"tutorial_exp_TriviaShirokiAsuna_02_001",""
"tutorial_exp_TriviaKuroiSyouta_01_001",""
"tutorial_exp_TriviaKuroiSyouta_02_001",""
"tutorial_exp_TriviaMonicaSimmons_01_001",""
"tutorial_exp_TriviaMonicaSimmons_02_001",""
"tutorial_exp_TriviakugaToya_01_001",""
"tutorial_exp_TriviakugaToya_02_001",""
"tutorial_exp_TriviaDrYuki_01_001",""
"tutorial_exp_TriviaDigimon_01_001",""
"tutorial_exp_TriviaAegiomon_01_001",""
"tutorial_exp_TriviaAegiochusmon_01_001",""
"tutorial_exp_TriviaJupitermon_01_001",""
"tutorial_exp_TriviaMinervamon_01_001",""
"tutorial_exp_TriviaCoronamon_01_001",""
"tutorial_exp_TriviaApollomon_01_001",""
"tutorial_exp_TriviaLunamon_01_001",""
"tutorial_exp_TriviaDianamon_01_001",""
"tutorial_exp_TriviaMerukimon_01_001",""
"tutorial_exp_TriviaVulcanusmon_01_001",""
"tutorial_exp_TriviaJunomon_01_001",""
"tutorial_exp_TriviaBacchusmon_01_001",""
"tutorial_exp_TriviaVenusmon_01_001",""
"tutorial_exp_TriviaNeptunemon_01_001",""
"tutorial_exp_TriviaCeresmon_01_001",""
"tutorial_exp_TriviaTitan_01_001",""
"tutorial_exp_TriviatTtamon_01_001",""
"tutorial_exp_TriviaPlutomon_01_001",""
"tutorial_exp_TriviaCentralTown_01_001",""
"tutorial_exp_TriviaCentralTown_02_001",""
"tutorial_exp_TriviaCentralTown_03_001",""
"tutorial_exp_TriviaFactoryalTown_01_001",""
"tutorial_exp_TriviaGuardianPalace_01_001",""
"tutorial_exp_TriviaGuardianPalace_02_001",""
"tutorial_exp_TriviaAbyssBeach_01_001",""
"tutorial_exp_TriviaGearForest_01_001",""
"tutorial_exp_TriviaDarkField_01_001",""
"tutorial_exp_TriviaHeatCosmic_01_001",""
"tutorial_exp_TriviCchillCosmic_01_001",""
"tutorial_exp_TriviaAkashicRagnarok_01_001",""
"tutorial_exp_TriviaCherrymon_01_001",""
"tutorial_exp_Trivia2020_01_001",""
"tutorial_exp_Trivia2028_01_001",""
