string2 0,string 1
"531","A Day in a Certain Detective Agency (From Cyber Sleuth)"
"532","A Curtain Call with a Cup of Coffee (From Cyber Sleuth)"
"533","HOPE STER (From Cyber Sleuth)"
"534","Wandering in a Mayohiga (From Cyber Sleuth)"
"535","Labyrinth -Digital Shift- (From Cyber Sleuth)"
"536","Cyber Enclosed Space (From Cyber Sleuth)"
"537","Gloomy UNDERPASS (From Cyber Sleuth)"
"538","Prelude to a Bloody Battle (From Cyber Sleuth)"
"539","The Last BABEL (From Cyber Sleuth)"
"540","Cutting Away Sadness (From Cyber Sleuth)"
"541","Lively Cyber Detective (From Cyber Sleuth)"
"542","EDEN (From Cyber Sleuth)"
"543","DIGIFARM (From Cyber Sleuth)"
"544","Welcome to This Wonderful Space (From Cyber Sleuth)"
"545","A Fool Will Dance at Any Time (From Cyber Sleuth)"
"546","Peaceful Daily Life (From Cyber Sleuth)"
"547","Gathering Dark Clouds (From Cyber Sleuth)"
"548","Something Eroding (From Cyber Sleuth)"
"549","Raging Tide (From Cyber Sleuth)"
"550","Crawling Tension (From Cyber Sleuth)"
"551","FINAL PHASE (From Cyber Sleuth)"
"552","Reminiscence (From Cyber Sleuth)"
"553","A Chaotic Scene (From Cyber Sleuth)"
"554","Haze-Colored Confession (From Cyber Sleuth)"
"555","CONFRONT THE ENEMY (From Cyber Sleuth)"
"556","All or Nothing (From Cyber Sleuth)"
"557","Requiem for the Defeated (From Cyber Sleuth)"
"558","FAREWELL (From Cyber Sleuth)"
"559","Persisting Afterglow (From Cyber Sleuth)"
"560","SPIRITUAL BOY (From Cyber Sleuth)"
"561","Disc 3 (From Cyber Sleuth)"
"562","A Time of Determination (From Cyber Sleuth)"
"563","MESSAGE (From Cyber Sleuth)"
"564","PO-SI-TIVE Pop Girl (From Cyber Sleuth)"
"565","DESTINATION GUIDES (From Cyber Sleuth)"
"566","Tranquil City (From Cyber Sleuth)"
"567","DEEP EMOTION (From Cyber Sleuth)"
"568","HACKING PRIDE (From Cyber Sleuth)"
"569","We Bring Glory to ZAXON (From Cyber Sleuth)"
"570","Ephemeral Humming Bird (From Cyber Sleuth)"
"571","UNREAL RHYTHM (From Cyber Sleuth)"
"572","Critical Situation (From Cyber Sleuth)"
"573","A Fearful Encounter (From Cyber Sleuth)"
"574","Vanguard of the Stage Wing (From Cyber Sleuth)"
"575","The Holy Knights' Power (From Cyber Sleuth)"
"576","ROYAL KNIGHTS (From Cyber Sleuth)"
"577","SEVEN GREAT DEMON LORDS (From Cyber Sleuth)"
"578","Mother Eater (From Cyber Sleuth)"
"579","The Anticipated New World (From Cyber Sleuth)"
"580","Budding Hope (From Cyber Sleuth)"
"581","Re-INSTALL (From Cyber Sleuth)"
"582","YA CYBER SLEUTH (From Hacker's Memory)"
"583","CYBER DUEL (From Hacker's Memory)"
"584","FUDIE (From Hacker's Memory)"
"585","ONE MIND (From Hacker's Memory)"
"586","Chaotic Lands Untouched by Light (From Hacker's Memory)"
"587","DIGITAL WARS II (From Hacker's Memory)"
"588","FROM THE DARKSIDE (From Hacker's Memory)"
"589","Back-Alley Hackers (From Hacker's Memory)"
"590","HACKER'S DIGNITY (From Hacker's Memory)"
"591","MEMORY SERVER (From Hacker's Memory)"
"592","The Threat Appears (From Hacker's Memory)"
"593","TERROR (From Hacker's Memory)"
"594","MASKED NECROMANCER (From Hacker's Memory)"
"595","Eroded Arcadia (From Hacker's Memory)"
"596","LAST CYBER ATTACK (From Hacker's Memory)"
"597","MEMORIES (From Hacker's Memory)"
"598","THE CYBER SLEUTH (From Cyber Sleuth)"
"610","MISSION START"
"720","[Last Dungeon] Periphery of the In-Between 1"
"721","[Last Dungeon] Periphery of the In-Between 2"
"722","[Last Dungeon] Periphery of the In-Between 3"
"723","[Last Dungeon] Underworld Space-Time Junction 1"
"724","[Last Dungeon] Underworld Space-Time Junction 2"
"725","[Last Dungeon] Underworld Space-Time Junction 3"
"726","[Last Dungeon] Battle Space-Time Valhalla 1"
"727","[Last Dungeon] Battle Space-Time Valhalla 2"
"728","[Last Dungeon] Battle Space-Time Valhalla 3"
"729","[Last Dungeon] Verdant Space-Time Junction 1"
"730","[Last Dungeon] Verdant Space-Time Junction 2"
"731","[Last Dungeon] Verdant Space-Time Junction 3"
"732","[Last Dungeon] Submerged Space-Time Ragnarok 1"
"733","[Last Dungeon] Submerged Space-Time Ragnarok 2"
"734","[Last Dungeon] Submerged Space-Time Ragnarok 3"
"735","[Last Dungeon] Mechanical Space-Time Ragnarok 1"
"736","[Last Dungeon] Mechanical Space-Time Ragnarok 2"
"737","[Last Dungeon] Mechanical Space-Time Ragnarok 3"
"738","[Last Dungeon] Eclipsing Space-Time Ragnarok 1"
"739","[Last Dungeon] Eclipsing Space-Time Ragnarok 2"
"740","[Last Dungeon] Eclipsing Space-Time Ragnarok 3"
"741","[Last Dungeon] Nanimon Area 1"
"742","[Last Dungeon] Nanimon Area 2"
"743","[Last Dungeon] Nanimon Area 3"
"744","[Last Dungeon] Nanimon Area 4"
"745","[Last Dungeon] Nanimon Area 5"
"746","[Last Dungeon] Center of the In-Between 1"
"804","Big Anomaly"
"805","Engage the Anomalies"
"806","Pillar of Evil, Revisited"
"900","City (Daylight)"
"901","City (Evening)"
"902","City (Night)"
"903","Danger in the City (Daylight)"
"904","Danger in the City (Evening)"
"905","Danger in the City (Night)"
"906","Secret Base"
"907","Into the Depths"
"908","Into the Darkness"
"909","Resistance to Fate"
"911","DARK WATERS"
"912","AKIBA"
"913","Desolate Central Town"
"915","The Warriors' Sorrow"
"916","Turbulent Factorial Area"
"917","The Guardian Palace"
"918","Otherside Isle"
"919","The Abyss Area"
"920","The Dark Abyss Area"
"921","Gear Forest of the Black Sun"
"922","Heat Cosmic"
"923","Chill Cosmic"
"924","The Paradise Colosseum"
"925","The Final Colosseum"
"926","The Underground Arena"
"927","Endure the Anomalies"
"928","Battle of Iliad"
"929","Fierce Battle of Iliad"
"930","Messenger of the Titans"
"931","Big Threat"
"932","The Deities of Justice"
"933","EPIC BATTLE"
"935","A Little Comedy"
"945","Last Silhouette"
"950","[Final Boss] Theme 1"
"951","[Final Boss] Theme 2"
"952","[Final Boss] Theme 3"
