chr_id,lod_model_ref_01,lod_model_ref_02,lod_model_ref_03,lod_model_ref_04,lod_model_ref_05,lod_model_ref_06,lod_model_ref_07,lod_model_ref_08,lod_model_ref_09,lod_model_ref_10
"chr130","","chr130_LOD_2","","","","","","","",""
"chr132","","chr132_LOD_2","","","","","","","",""
"chr133","","chr133_LOD_2","","","","","","","",""
"chr134","","chr134_LOD_2","","","","","","","",""
"chr135","","chr135_LOD_2","","","","","","","",""
"chr136","","chr136_LOD_2","","","","","","","",""
"chr137","","chr137_LOD_2","","","","","","","",""
"chr138","","chr138_LOD_2","","","","","","","",""
"chr139","","chr139_LOD_2","","","","","","","",""
"chr140","","chr140_LOD_2","","","","","","","",""
"chr141","","chr141_LOD_2","","","","","","","",""
"chr142","","chr142_LOD_2","","","","","","","",""
"chr144","","chr144_LOD_2","","","","","","","",""
"chr145","","chr145_LOD_2","","","","","","","",""
"chr146","","chr146_LOD_2","","","","","","","",""
"chr147","","chr147_LOD_2","","","","","","","",""
"chr148","","chr148_LOD_2","","","","","","","",""
"chr149","","chr149_LOD_2","","","","","","","",""
"chr150","","chr150_LOD_2","","","","","","","",""
"chr151","","chr151_LOD_2","","","","","","","",""
"chr162","","chr162_LOD_2","","","","","","","",""
"chr163","","chr163_LOD_2","","","","","","","",""
"chr168","","chr168_LOD_2","","","","","","","",""
"chr169","","chr169_LOD_2","","","","","","","",""
"chr170","","chr170_LOD_2","","","","","","","",""
"chr171","","chr171_LOD_2","","","","","","","",""
"chr172","","chr172_LOD_2","","","","","","","",""
"chr173","","chr173_LOD_2","","","","","","","",""
"chr174","","chr174_LOD_2","","","","","","","",""
"chr176","","chr176_LOD_2","","","","","","","",""
"chr177","","chr177_LOD_2","","","","","","","",""
"chr178","","chr178_LOD_2","","","","","","","",""
"chr179","","chr179_LOD_2","","","","","","","",""
"chr180","","chr180_LOD_2","","","","","","","",""
"chr181","","chr181_LOD_2","","","","","","","",""
"chr183a","","chr183a_LOD_2","","","","","","","",""
"chr184a","","chr184a_LOD_2","","","","","","","",""
"chr185a","","chr185a_LOD_2","","","","","","","",""
"chr186a","","chr186a_LOD_2","","","","","","","",""
"chr187a","","chr187a_LOD_2","","","","","","","",""
"chr188a","","chr188a_LOD_2","","","","","","","",""
"chr189","","chr189_LOD_2","","","","","","","",""
"chr190","","chr190_LOD_2","","","","","","","",""
"chr191","","chr191_LOD_2","","","","","","","",""
"chr192","","chr192_LOD_2","","","","","","","",""
"chr193","","chr193_LOD_2","","","","","","","",""
"chr194","","chr194_LOD_2","","","","","","","",""
"chr195","","chr195_LOD_2","","","","","","","",""
"chr196","","chr196_LOD_2","","","","","","","",""
"chr197","","chr197_LOD_2","","","","","","","",""
"chr198","","chr198_LOD_2","","","","","","","",""
"chr199","","chr199_LOD_2","","","","","","","",""
"chr208","","chr208_LOD_2","","","","","","","",""
"chr209","","chr209_LOD_2","","","","","","","",""
"chr210","","chr210_LOD_2","","","","","","","",""
"chr211","","chr211_LOD_2","","","","","","","",""
"chr213","","chr213_LOD_2","","","","","","","",""
"chr214","","chr214_LOD_2","","","","","","","",""
"chr215","","chr215_LOD_2","","","","","","","",""
"chr217","","chr217_LOD_2","","","","","","","",""
"chr218","","chr218_LOD_2","","","","","","","",""
"chr219","","chr219_LOD_2","","","","","","","",""
"chr220","","chr220_LOD_2","","","","","","","",""
"chr222","","chr222_LOD_2","","","","","","","",""
"chr223","","chr223_LOD_2","","","","","","","",""
"chr224","","chr224_LOD_2","","","","","","","",""
"chr225","","chr225_LOD_2","","","","","","","",""
"chr226","","chr226_LOD_2","","","","","","","",""
"chr227","","chr227_LOD_2","","","","","","","",""
"chr228","","chr228_LOD_2","","","","","","","",""
"chr229","","chr229_LOD_2","","","","","","","",""
"chr230","","chr230_LOD_2","","","","","","","",""
"chr231","","chr231_LOD_2","","","","","","","",""
"chr232","","chr232_LOD_2","","","","","","","",""
"chr233","","chr233_LOD_2","","","","","","","",""
"chr234","","chr234_LOD_2","","","","","","","",""
"chr235","","chr235_LOD_2","","","","","","","",""
"chr237","","chr237_LOD_2","","","","","","","",""
"chr239","","chr239_LOD_2","","","","","","","",""
"chr240","","chr240_LOD_2","","","","","","","",""
"chr241","","chr241_LOD_2","","","","","","","",""
"chr242","","chr242_LOD_2","","","","","","","",""
"chr301","","chr301_LOD_2","","","","","","","",""
"chr302","","chr302_LOD_2","","","","","","","",""
"chr303","","chr303_LOD_2","","","","","","","",""
"chr304","","chr304_LOD_2","","","","","","","",""
"chr305","","chr305_LOD_2","","","","","","","",""
"chr306","","chr306_LOD_2","","","","","","","",""
"chr307","","chr307_LOD_2","","","","","","","",""
"chr308","","chr308_LOD_2","","","","","","","",""
"chr309","","chr309_LOD_2","","","","","","","",""
"chr310","","chr310_LOD_2","","","","","","","",""
"chr311","","chr311_LOD_2","","","","","","","",""
"chr312","","chr312_LOD_2","","","","","","","",""
"chr313","","chr313_LOD_2","","","","","","","",""
"chr314","","chr314_LOD_2","","","","","","","",""
"chr315","","chr315_LOD_2","","","","","","","",""
"chr316","","chr316_LOD_2","","","","","","","",""
"chr317","","chr317_LOD_2","","","","","","","",""
"chr320","","chr320_LOD_2","","","","","","","",""
"chr321","","chr321_LOD_2","","","","","","","",""
"chr322","","chr322_LOD_2","","","","","","","",""
"chr325","","chr325_LOD_2","","","","","","","",""
"chr326","","chr326_LOD_2","","","","","","","",""
"chr328","","chr328_LOD_2","","","","","","","",""
"chr338","","chr338_LOD_2","","","","","","","",""
"chr341","","chr341_LOD_2","","","","","","","",""
"chr342","","chr342_LOD_2","","","","","","","",""
"chr343","","chr343_LOD_2","","","","","","","",""
"chr344","","chr344_LOD_2","","","","","","","",""
"chr345","","chr345_LOD_2","","","","","","","",""
"chr346","","chr346_LOD_2","","","","","","","",""
"chr347","","chr347_LOD_2","","","","","","","",""
"chr348","","chr348_LOD_2","","","","","","","",""
"chr349","","chr349_LOD_2","","","","","","","",""
"chr359","","chr359_LOD_2","","","","","","","",""
"chr361","","chr361_LOD_2","","","","","","","",""
"chr363","","chr363_LOD_2","","","","","","","",""
"chr364","","chr364_LOD_2","","","","","","","",""
"chr365","","chr365_LOD_2","","","","","","","",""
"chr367","","chr367_LOD_2","","","","","","","",""
"chr368","","chr368_LOD_2","","","","","","","",""
"chr369","","chr369_LOD_2","","","","","","","",""
"chr370","","chr370_LOD_2","","","","","","","",""
"chr371","","chr371_LOD_2","","","","","","","",""
"chr372","","chr372_LOD_2","","","","","","","",""
"chr373","","chr373_LOD_2","","","","","","","",""
"chr374","","chr374_LOD_2","","","","","","","",""
"chr375","","chr375_LOD_2","","","","","","","",""
"chr376","","chr376_LOD_2","","","","","","","",""
"chr377","","chr377_LOD_2","","","","","","","",""
"chr378","","chr378_LOD_2","","","","","","","",""
"chr379","","chr379_LOD_2","","","","","","","",""
"chr380","","chr380_LOD_2","","","","","","","",""
"chr382","","chr382_LOD_2","","","","","","","",""
"chr383","","chr383_LOD_2","","","","","","","",""
"chr385","","chr385_LOD_2","","","","","","","",""
"chr387","","chr387_LOD_2","","","","","","","",""
"chr388","","chr388_LOD_2","","","","","","","",""
"chr389","","chr389_LOD_2","","","","","","","",""
"chr390","","chr390_LOD_2","","","","","","","",""
"chr391","","chr391_LOD_2","","","","","","","",""
"chr392","","chr392_LOD_2","","","","","","","",""
"chr393","","chr393_LOD_2","","","","","","","",""
"chr394","","chr394_LOD_2","","","","","","","",""
"chr395","","chr395_LOD_2","","","","","","","",""
"chr396","","chr396_LOD_2","","","","","","","",""
"chr397","","chr397_LOD_2","","","","","","","",""
"chr398","","chr398_LOD_2","","","","","","","",""
"chr399","","chr399_LOD_2","","","","","","","",""
"chr400","","chr400_LOD_2","","","","","","","",""
"chr401","","chr401_LOD_2","","","","","","","",""
"chr402","","chr402_LOD_2","","","","","","","",""
"chr403","","chr403_LOD_2","","","","","","","",""
"chr404","","chr404_LOD_2","","","","","","","",""
"chr405","","chr405_LOD_2","","","","","","","",""
"chr406","","chr406_LOD_2","","","","","","","",""
"chr407","","chr407_LOD_2","","","","","","","",""
"chr408","","chr408_LOD_2","","","","","","","",""
"chr409","","chr409_LOD_2","","","","","","","",""
"chr410","","chr410_LOD_2","","","","","","","",""
"chr411","","chr411_LOD_2","","","","","","","",""
"chr412","","chr412_LOD_2","","","","","","","",""
"chr413","","chr413_LOD_2","","","","","","","",""
"chr414","","chr414_LOD_2","","","","","","","",""
"chr416","","chr416_LOD_2","","","","","","","",""
"chr417","","chr417_LOD_2","","","","","","","",""
"chr419","","chr419_LOD_2","","","","","","","",""
"chr420","","chr420_LOD_2","","","","","","","",""
"chr421","","chr421_LOD_2","","","","","","","",""
"chr422","","chr422_LOD_2","","","","","","","",""
"chr423","","chr423_LOD_2","","","","","","","",""
"chr424","","chr424_LOD_2","","","","","","","",""
"chr425","","chr425_LOD_2","","","","","","","",""
"chr426","","chr426_LOD_2","","","","","","","",""
"chr427","","chr427_LOD_2","","","","","","","",""
"chr428","","chr428_LOD_2","","","","","","","",""
"chr429","","chr429_LOD_2","","","","","","","",""
"chr431","","chr431_LOD_2","","","","","","","",""
"chr434","","chr434_LOD_2","","","","","","","",""
"chr435","","chr435_LOD_2","","","","","","","",""
"chr437","","chr437_LOD_2","","","","","","","",""
"chr438","","chr438_LOD_2","","","","","","","",""
"chr439","","chr439_LOD_2","","","","","","","",""
"chr440","","chr440_LOD_2","","","","","","","",""
"chr449","","chr449_LOD_2","","","","","","","",""
"chr450","","chr450_LOD_2","","","","","","","",""
"chr451","","chr451_LOD_2","","","","","","","",""
"chr452","","chr452_LOD_2","","","","","","","",""
"chr453","","chr453_LOD_2","","","","","","","",""
"chr454","","chr454_LOD_2","","","","","","","",""
"chr455","","chr455_LOD_2","","","","","","","",""
"chr456","","chr456_LOD_2","","","","","","","",""
"chr457","","chr457_LOD_2","","","","","","","",""
"chr458","","chr458_LOD_2","","","","","","","",""
"chr461","","chr461_LOD_2","","","","","","","",""
"chr463","","chr463_LOD_2","","","","","","","",""
"chr465","","chr465_LOD_2","","","","","","","",""
"chr466","","chr466_LOD_2","","","","","","","",""
"chr474","","chr474_LOD_2","","","","","","","",""
"chr479","","chr479_LOD_2","","","","","","","",""
"chr484","","chr484_LOD_2","","","","","","","",""
"chr489","","chr489_LOD_2","","","","","","","",""
"chr490","","chr490_LOD_2","","","","","","","",""
"chr491","","chr491_LOD_2","","","","","","","",""
"chr492","","chr492_LOD_2","","","","","","","",""
"chr493","","chr493_LOD_2","","","","","","","",""
"chr494","","chr494_LOD_2","","","","","","","",""
"chr510","","chr510_LOD_2","","","","","","","",""
"chr512","","chr512_LOD_2","","","","","","","",""
"chr514","","chr514_LOD_2","","","","","","","",""
"chr515","","chr515_LOD_2","","","","","","","",""
"chr548","","chr548_LOD_2","","","","","","","",""
"chr563","","chr563_LOD_2","","","","","","","",""
"chr564","","chr564_LOD_2","","","","","","","",""
"chr567","","chr567_LOD_2","","","","","","","",""
"chr569","","chr569_LOD_2","","","","","","","",""
"chr573","","chr573_LOD_2","","","","","","","",""
"chr574","","chr574_LOD_2","","","","","","","",""
"chr575","","chr575_LOD_2","","","","","","","",""
"chr576","","chr576_LOD_2","","","","","","","",""
"chr577","","chr577_LOD_2","","","","","","","",""
"chr578","","chr578_LOD_2","","","","","","","",""
"chr579","","chr579_LOD_2","","","","","","","",""
"chr580","","chr580_LOD_2","","","","","","","",""
"chr582","","chr582_LOD_2","","","","","","","",""
"chr584","","chr584_LOD_2","","","","","","","",""
"chr586","","chr586_LOD_2","","","","","","","",""
"chr588","","chr588_LOD_2","","","","","","","",""
"chr590","","chr590_LOD_2","","","","","","","",""
"chr592","","chr592_LOD_2","","","","","","","",""
"chr594","","chr594_LOD_2","","","","","","","",""
"chr595","","chr595_LOD_2","","","","","","","",""
"chr596","","chr596_LOD_2","","","","","","","",""
"chr597","","chr597_LOD_2","","","","","","","",""
"chr598","","chr598_LOD_2","","","","","","","",""
"chr600","","chr600_LOD_2","","","","","","","",""
"chr601","","chr601_LOD_2","","","","","","","",""
"chr602","","chr602_LOD_2","","","","","","","",""
"chr603","","chr603_LOD_2","","","","","","","",""
"chr604","","chr604_LOD_2","","","","","","","",""
"chr605","","chr605_LOD_2","","","","","","","",""
"chr606","","chr606_LOD_2","","","","","","","",""
"chr607","","chr607_LOD_2","","","","","","","",""
"chr609","","chr609_LOD_2","","","","","","","",""
"chr610","","chr610_LOD_2","","","","","","","",""
"chr611","","chr611_LOD_2","","","","","","","",""
"chr613","","chr613_LOD_2","","","","","","","",""
"chr614","","chr614_LOD_2","","","","","","","",""
"chr615","","chr615_LOD_2","","","","","","","",""
"chr616","","chr616_LOD_2","","","","","","","",""
"chr617","","chr617_LOD_2","","","","","","","",""
"chr621","","chr621_LOD_2","","","","","","","",""
"chr622","","chr622_LOD_2","","","","","","","",""
"chr623","","chr623_LOD_2","","","","","","","",""
"chr626","","chr626_LOD_2","","","","","","","",""
"chr627","","chr627_LOD_2","","","","","","","",""
"chr629","","chr629_LOD_2","","","","","","","",""
"chr630","","chr630_LOD_2","","","","","","","",""
"chr631","","chr631_LOD_2","","","","","","","",""
"chr632","","chr632_LOD_2","","","","","","","",""
"chr669","","chr669_LOD_2","","","","","","","",""
"chr670","","chr670_LOD_2","","","","","","","",""
"chr675","","chr675_LOD_2","","","","","","","",""
"chr676","","chr676_LOD_2","","","","","","","",""
"chr677","","chr677_LOD_2","","","","","","","",""
"chr678","","chr678_LOD_2","","","","","","","",""
"chr679","","chr679_LOD_2","","","","","","","",""
"chr680","","chr680_LOD_2","","","","","","","",""
"chr681","","chr681_LOD_2","","","","","","","",""
"chr682","","chr682_LOD_2","","","","","","","",""
"chr683","","chr683_LOD_2","","","","","","","",""
"chr687","","chr687_LOD_2","","","","","","","",""
"chr688","","chr688_LOD_2","","","","","","","",""
"chr697","","chr697_LOD_2","","","","","","","",""
"chr698","","chr698_LOD_2","","","","","","","",""
"chr699","","chr699_LOD_2","","","","","","","",""
"chr700","","chr700_LOD_2","","","","","","","",""
"chr701","","chr701_LOD_2","","","","","","","",""
"chr702","","chr702_LOD_2","","","","","","","",""
"chr703","","chr703_LOD_2","","","","","","","",""
"chr704","","chr704_LOD_2","","","","","","","",""
"chr705","","chr705_LOD_2","","","","","","","",""
"chr706","","chr706_LOD_2","","","","","","","",""
"chr707","","chr707_LOD_2","","","","","","","",""
"chr708","","chr708_LOD_2","","","","","","","",""
"chr709","","chr709_LOD_2","","","","","","","",""
"chr710","","chr710_LOD_2","","","","","","","",""
"chr711","","chr711_LOD_2","","","","","","","",""
"chr716","","chr716_LOD_2","","","","","","","",""
"chr718","","chr718_LOD_2","","","","","","","",""
"chr719","","chr719_LOD_2","","","","","","","",""
"chr720","","chr720_LOD_2","","","","","","","",""
"chr721","","chr721_LOD_2","","","","","","","",""
"chr722","","chr722_LOD_2","","","","","","","",""
"chr723","","chr723_LOD_2","","","","","","","",""
"chr724","","chr724_LOD_2","","","","","","","",""
"chr725","","chr725_LOD_2","","","","","","","",""
"chr726","","chr726_LOD_2","","","","","","","",""
"chr727","","chr727_LOD_2","","","","","","","",""
"chr728","","chr728_LOD_2","","","","","","","",""
"chr729","","chr729_LOD_2","","","","","","","",""
"chr730","","chr730_LOD_2","","","","","","","",""
"chr731","","chr731_LOD_2","","","","","","","",""
"chr732","","chr732_LOD_2","","","","","","","",""
"chr733","","chr733_LOD_2","","","","","","","",""
"chr734","","chr734_LOD_2","","","","","","","",""
"chr735","","chr735_LOD_2","","","","","","","",""
"chr737","","chr737_LOD_2","","","","","","","",""
"chr738","","chr738_LOD_2","","","","","","","",""
"chr739","","chr739_LOD_2","","","","","","","",""
"chr740","","chr740_LOD_2","","","","","","","",""
"chr741","","chr741_LOD_2","","","","","","","",""
"chr742","","chr742_LOD_2","","","","","","","",""
"chr743","","chr743_LOD_2","","","","","","","",""
"chr744","","chr744_LOD_2","","","","","","","",""
"chr745","","chr745_LOD_2","","","","","","","",""
"chr747","","chr747_LOD_2","","","","","","","",""
"chr748","","chr748_LOD_2","","","","","","","",""
"chr749","","chr749_LOD_2","","","","","","","",""
"chr750","","chr750_LOD_2","","","","","","","",""
"chr751","","chr751_LOD_2","","","","","","","",""
"chr752","","chr752_LOD_2","","","","","","","",""
"chr753","","chr753_LOD_2","","","","","","","",""
"chr754","","chr754_LOD_2","","","","","","","",""
"chr755","","chr755_LOD_2","","","","","","","",""
"chr756","","chr756_LOD_2","","","","","","","",""
"chr757","","chr757_LOD_2","","","","","","","",""
"chr758","","chr758_LOD_2","","","","","","","",""
"chr759","","chr759_LOD_2","","","","","","","",""
"chr760","","chr760_LOD_2","","","","","","","",""
"chr766","","chr766_LOD_2","","","","","","","",""
"chr767","","chr767_LOD_2","","","","","","","",""
"chr770","","chr770_LOD_2","","","","","","","",""
"chr771","","chr771_LOD_2","","","","","","","",""
"chr772","","chr772_LOD_2","","","","","","","",""
"chr773","","chr773_LOD_2","","","","","","","",""
"chr774","","chr774_LOD_2","","","","","","","",""
"chr775","","chr775_LOD_2","","","","","","","",""
"chr776","","chr776_LOD_2","","","","","","","",""
"chr777","","chr777_LOD_2","","","","","","","",""
"chr778","","chr778_LOD_2","","","","","","","",""
"chr779","","chr779_LOD_2","","","","","","","",""
"chr790","","chr790_LOD_2","","","","","","","",""
"chr800","","","","","","","","","",""
"chr801","","","","","","","","","",""
"chr802","","","","","","","","","",""
"chr804","","","","","","","","","",""
"chr805","","chr805_LOD_2","","","","","","","",""
"chr807a","","","","","","","","","",""
"chr809","","","","","","","","","",""
"chr810","","","","","","","","","",""
"chr811","","","","","","","","","",""
"chr812","","chr812_LOD_2","","","","","","","",""
"chr813","","chr813_LOD_2","","","","","","","",""
"chr814","","chr814_LOD_2","","","","","","","",""
"chr815","","chr815_LOD_2","","","","","","","",""
"chr816","","chr816_LOD_2","","","","","","","",""
"chr817","","chr817_LOD_2","","","","","","","",""
"chr818","","chr818_LOD_2","","","","","","","",""
"chr819","","chr819_LOD_2","","","","","","","",""
"chr820","","chr820_LOD_2","","","","","","","",""
"chr821","","chr821_LOD_2","","","","","","","",""
"chr822","","chr822_LOD_2","","","","","","","",""
"chr823","","","","","","","","","",""
"chr824","","chr824_LOD_2","","","","","","","",""
"chr825","","","","","","","","","",""
"chr826","","","","","","","","","",""
"chr827","","chr827_LOD_2","","","","","","","",""
"chr828","","","","","","","","","",""
"chr829","","chr829_LOD_2","","","","","","","",""
"chr830","","","","","","","","","",""
"chr831","","chr831_LOD_2","","","","","","","",""
"chr832","","","","","","","","","",""
"chr833","","","","","","","","","",""
"chr834","","","","","","","","","",""
"chr835","","","","","","","","","",""
"chr836","","","","","","","","","",""
"chr837","","","","","","","","","",""
"chr838","","chr838_LOD_2","","","","","","","",""
"chr839","","","","","","","","","",""
"chr840","","","","","","","","","",""
"chr841","","","","","","","","","",""
"chr842","","","","","","","","","",""
"chr843","","chr843_LOD_2","","","","","","","",""
"chr844","","","","","","","","","",""
"chr845","","chr845_LOD_2","","","","","","","",""
"chr846","","","","","","","","","",""
"chr874","","","","","","","","","",""
"chr875","","","","","","","","","",""
"chr876","","","","","","","","","",""
"chr877","","","","","","","","","",""
"chr900a","","","","","","","","","",""
"chr906","","","","","","","","","",""
"chr907","","chr907_LOD_2","","","","","","","",""
"chr908","","chr908_LOD_2","","","","","","","",""
"chr909","","chr909_LOD_2","","","","","","","",""
"chr910","","","","","","","","","",""
"chr913","","","","","","","","","",""
"chr915","","chr915_LOD_2","","","","","","","",""
"chr916","","chr916_LOD_2","","","","","","","",""
"chr917","","chr917_LOD_2","","","","","","","",""
"chr918","","chr918_LOD_2","","","","","","","",""
"chr919","","chr919_LOD_2","","","","","","","",""
"chr920","","chr920_LOD_2","","","","","","","",""
"chr921","","","","","","","","","",""
"chr922","","chr922_LOD_2","","","","","","","",""
"chr923","","chr923_LOD_2","","","","","","","",""
"chr924","","chr924_LOD_2","","","","","","","",""
"chr925","","chr925_LOD_2","","","","","","","",""
"chr926","","chr926_LOD_2","","","","","","","",""
"chr927","","chr927_LOD_2","","","","","","","",""
"chr928","","chr928_LOD_2","","","","","","","",""
"chr929","","chr929_LOD_2","","","","","","","",""
"chr930","","","","","","","","","",""
"chr931","","chr931_LOD_2","","","","","","","",""
"chr932","","chr932_LOD_2","","","","","","","",""
"chr933","","chr933_LOD_2","","","","","","","",""
"chr934","","chr934_LOD_2","","","","","","","",""
"chr935","","","","","","","","","",""
"chr936","","chr936_LOD_2","","","","","","","",""
"chr937","","","","","","","","","",""
"chr938","","","","","","","","","",""
"chr939","","","","","","","","","",""
"chr940","","chr940_LOD_2","","","","","","","",""
"chr941","","","","","","","","","",""
"chr942","","","","","","","","","",""
"chr943","","","","","","","","","",""
"chr944","","","","","","","","","",""
"chr945","","","","","","","","","",""
"chr946","","","","","","","","","",""
"chr947","","chr947_LOD_2","","","","","","","",""
"chr948","","chr948_LOD_2","","","","","","","",""
"chr949","","","","","","","","","",""
"chr950","","","","","","","","","",""
"chr999","","","","","","","","","",""
"chrh183a","","chrh183a_LOD_2","","","","","","","",""
"chrh184a","","chrh184a_LOD_2","","","","","","","",""
"chrh185a","","chrh185a_LOD_2","","","","","","","",""
"chrh186a","","chrh186a_LOD_2","","","","","","","",""
"chrh187a","","chrh187a_LOD_2","","","","","","","",""
"chrh188a","","chrh188a_LOD_2","","","","","","","",""
"chr183b","","","","","","","","","",""
"pc001a","","","","","","","","","",""
"pch001a","","","","","","","","","",""
"pc002a","","","","","","","","","",""
"pch002a","","","","","","","","","",""
"pc001e","","","","","","","","","",""
"pc002e","","","","","","","","","",""
"pc001i","","","","","","","","","",""
"pc002i","","","","","","","","","",""
"npc001i","","","","","","","","","",""
"chr183i","","","","","","","","","",""
"pc001n","","","","","","","","","",""
"pc002n","","","","","","","","","",""
"npc001n","","","","","","","","","",""
"chr183n","","","","","","","","","",""
"pc001q","","","","","","","","","",""
"pc002q","","","","","","","","","",""
"npc001q","","","","","","","","","",""
"chr183q","","","","","","","","","",""
"pc001t","","","","","","","","","",""
"pc002t","","","","","","","","","",""
"npc001t","","","","","","","","","",""
"chr183t","","","","","","","","","",""
"npc001a","","","","","","","","","",""
"npch001a","","","","","","","","","",""
"npc002a","","npc002a_LOD_2","","","","","","","",""
"npch002a","","npch002a_LOD_2","","","","","","","",""
