string2 0,string2 1,int32 2
"X2028_daft_210","X2028_daft",210
"X2028_daft_220","X2028_daft",220
"X2028_daft_230","X2028_daft",230
"X2028_daft_240","X2028_daft",240
"X2028_daft_250","X2028_daft",250
"X2028_daft_260","X2028_daft",260
"X2028_daft_270","X2028_daft",270
"X2028_daft_280","X2028_daft",280
"X2028_daft_290","X2028_daft",290
"X2028_daft_300","X2028_daft",300
"X2028_daft_310","X2028_daft",310
"X2028_daft_320","X2028_daft",320
"X2028_daft_330","X2028_daft",330
"X2028_daft_340","X2028_daft",340
"X2028_daft_350","X2028_daft",350
"X2028_daft_360","X2028_daft",360
"X2028_daft_370","X2028_daft",370
"X2028_daft_380","X2028_daft",380
"X2028_daft_390","X2028_daft",390
"X2028_daft_400","X2028_daft",400
"X2028_daft_410","X2028_daft",410
"X2028_daft_420","X2028_daft",420
"X2028_daft_430","X2028_daft",430
"X2028_daft_440","X2028_daft",440
"X2028_daft_450","X2028_daft",450
"X2028_daft_460","X2028_daft",460
"X2028_daft_470","X2028_daft",470
"X2028_daft_480","X2028_daft",480
"X2028_daft_490","X2028_daft",490
"X2028_daft_10000","X2028_daft",10000
"Z2028_daft_0","Z2028_daft",0
"Z2028_daft_10","Z2028_daft",10
"Z2028_daft_20","Z2028_daft",20
"Z2028_daft_30","Z2028_daft",30
"Z2028_daft_40","Z2028_daft",40
"Z2028_daft_50","Z2028_daft",50
"Z2028_daft_60","Z2028_daft",60
"Z2028_daft_70","Z2028_daft",70
"Z2028_daft_80","Z2028_daft",80
"Z2028_daft_90","Z2028_daft",90
"Z2028_daft_100","Z2028_daft",100
"Z2028_daft_110","Z2028_daft",110
"Z2028_daft_120","Z2028_daft",120
"Z2028_daft_130","Z2028_daft",130
"Z2028_daft_140","Z2028_daft",140
"Z2028_daft_150","Z2028_daft",150
"Z2028_daft_160","Z2028_daft",160
"Z2028_daft_170","Z2028_daft",170
"Z2028_daft_180","Z2028_daft",180
"Z2028_daft_190","Z2028_daft",190
"Z2028_daft_200","Z2028_daft",200
"Z2028_daft_210","Z2028_daft",210
"Z2028_daft_220","Z2028_daft",220
"Z2028_daft_230","Z2028_daft",230
"Z2028_daft_240","Z2028_daft",240
"Z2028_daft_250","Z2028_daft",250
"Z2028_daft_260","Z2028_daft",260
"Z2028_daft_270","Z2028_daft",270
"Z2028_daft_280","Z2028_daft",280
"Z2028_daft_290","Z2028_daft",290
"Z2028_daft_300","Z2028_daft",300
"Z2028_daft_310","Z2028_daft",310
"Z2028_daft_320","Z2028_daft",320
"Z2028_daft_330","Z2028_daft",330
"Z2028_daft_340","Z2028_daft",340
"Z2028_daft_350","Z2028_daft",350
"Z2028_daft_360","Z2028_daft",360
"Z2028_daft_370","Z2028_daft",370
"Z2028_daft_380","Z2028_daft",380
"Z2028_daft_390","Z2028_daft",390
"Z2028_daft_400","Z2028_daft",400
"Z2028_daft_410","Z2028_daft",410
"Z2028_daft_420","Z2028_daft",420
"Z2028_daft_430","Z2028_daft",430
"Z2028_daft_440","Z2028_daft",440
"Z2028_daft_450","Z2028_daft",450
"Z2028_daft_460","Z2028_daft",460
"Z2028_daft_470","Z2028_daft",470
"Z2028_daft_480","Z2028_daft",480
"Z2028_daft_490","Z2028_daft",490
"Z2028_daft_10000","Z2028_daft",10000
"DLC001_dbef_0","DLC001_dbef",0
"DLC001_dbef_10","DLC001_dbef",10
"DLC001_dbef_20","DLC001_dbef",20
"DLC001_dbef_25","DLC001_dbef",25
"DLC001_dbef_30","DLC001_dbef",30
"DLC001_dbef_40","DLC001_dbef",40
"DLC001_dbef_50","DLC001_dbef",50
"DLC001_dbef_10000","DLC001_dbef",10000
"DLC002_dbef_0","DLC002_dbef",0
"DLC002_dbef_10","DLC002_dbef",10
"DLC002_dbef_20","DLC002_dbef",20
"DLC002_dbef_25","DLC002_dbef",25
"DLC002_dbef_30","DLC002_dbef",30
"DLC002_dbef_40","DLC002_dbef",40
"DLC002_dbef_50","DLC002_dbef",50
"DLC002_dbef_10000","DLC002_dbef",10000
"DLC003_dbef_0","DLC003_dbef",0
"DLC003_dbef_10","DLC003_dbef",10
"DLC003_dbef_20","DLC003_dbef",20
"DLC003_dbef_25","DLC003_dbef",25
"DLC003_dbef_30","DLC003_dbef",30
"DLC003_dbef_40","DLC003_dbef",40
"DLC003_dbef_50","DLC003_dbef",50
"DLC003_dbef_10000","DLC003_dbef",10000
