int32 0,int32 1,empty 2,int32 3,int32 4,int32 5,int32 6,empty 7,int32 8,int32 9,empty 10,int32 11,int32 12,empty 13,int32 14,int32 15,empty 16,int32 17,int32 18,empty 19,int32 20,int32 21,empty 22,int32 23,int32 24,empty 25,int32 26
27,312,,85,0,100,342,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
28,312,,86,0,100,352,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
29,313,,87,0,500,312,,5,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
30,313,,88,0,100,303,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
31,313,,89,0,100,323,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
32,313,,90,0,100,333,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
33,313,,91,0,100,343,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
34,313,,92,0,100,353,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
35,321,,93,0,100,301,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
36,321,,94,0,100,311,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
37,321,,95,0,100,331,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
38,321,,96,0,100,341,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
39,321,,97,0,100,351,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
40,322,,98,0,500,321,,5,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
41,322,,99,0,100,302,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
42,322,,100,0,100,312,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
43,322,,101,0,100,332,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
44,322,,102,0,100,342,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
45,322,,103,0,100,352,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
46,323,,104,0,500,322,,5,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
47,323,,105,0,100,303,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
48,323,,106,0,100,313,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
49,323,,107,0,100,333,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
50,323,,108,0,100,343,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
51,323,,109,0,100,353,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
52,331,,110,0,100,301,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
53,331,,111,0,100,311,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
54,331,,112,0,100,321,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
55,331,,113,0,100,341,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
56,331,,114,0,100,351,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
57,332,,115,0,500,331,,5,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
58,332,,116,0,100,302,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
59,332,,117,0,100,312,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
60,332,,118,0,100,322,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
61,332,,119,0,100,342,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
62,332,,120,0,100,352,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
63,333,,121,0,500,332,,5,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
64,333,,122,0,100,303,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
65,333,,123,0,100,313,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
66,333,,124,0,100,323,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
67,333,,125,0,100,343,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
68,333,,126,0,100,353,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
69,341,,127,0,100,301,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
70,341,,128,0,100,311,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
71,341,,129,0,100,321,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
72,341,,130,0,100,331,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
73,341,,131,0,100,351,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
74,342,,132,0,500,341,,5,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
75,342,,133,0,100,302,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
76,342,,134,0,100,312,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
77,342,,135,0,100,322,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
78,342,,136,0,100,332,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
79,342,,137,0,100,352,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
80,343,,138,0,100,342,,5,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
81,343,,139,0,100,303,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
82,343,,140,0,100,313,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
83,343,,141,0,100,323,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
84,343,,142,0,100,333,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
85,343,,143,0,100,353,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
86,351,,144,0,100,301,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
87,351,,145,0,100,311,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
88,351,,146,0,100,321,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
89,351,,147,0,100,331,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
90,351,,148,0,100,341,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
91,352,,149,0,500,351,,5,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
92,352,,150,0,100,302,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
93,352,,151,0,100,312,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
94,352,,152,0,100,322,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
95,352,,153,0,100,332,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
96,352,,154,0,100,342,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
97,353,,155,0,500,352,,5,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
98,353,,156,0,100,303,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
99,353,,157,0,100,313,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
100,353,,158,0,100,323,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
101,353,,159,0,100,333,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
102,353,,160,0,100,343,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
103,901,,1,0,10000,332,,5,30011,,1,0,,0,0,,0,0,,0,0,,0,0,,0
104,902,,2,0,10000,333,,1,30131,,1,0,,0,0,,0,0,,0,0,,0,0,,0
105,903,,3,0,10000,322,,5,30191,,1,0,,0,0,,0,0,,0,0,,0,0,,0
106,904,,4,0,10000,352,,5,30244,,1,0,,0,0,,0,0,,0,0,,0,0,,0
107,905,,5,0,10000,301,,10,30244,,1,0,,0,0,,0,0,,0,0,,0,0,,0
108,906,,6,0,10000,321,,10,30064,,1,0,,0,0,,0,0,,0,0,,0,0,,0
109,907,,7,0,10000,341,,10,30261,,1,0,,0,0,,0,0,,0,0,,0,0,,0
110,908,,8,0,10000,312,,5,30161,,1,0,,0,0,,0,0,,0,0,,0,0,,0
111,909,,9,0,10000,354,,1,91,,3,0,,0,0,,0,0,,0,0,,0,0,,0
112,910,,10,0,10000,354,,1,34091,,1,0,,0,0,,0,0,,0,0,,0,0,,0
113,912,,11,0,10000,93,,4,30011,,1,0,,0,0,,0,0,,0,0,,0,0,,0
114,913,,12,0,10000,203,,5,30034,,1,0,,0,0,,0,0,,0,0,,0,0,,0
115,914,,13,0,10000,95,,3,30251,,1,0,,0,0,,0,0,,0,0,,0,0,,0
116,915,,14,0,10000,210,,5,30221,,1,0,,0,0,,0,0,,0,0,,0,0,,0
117,916,,15,0,10000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
118,1048,,16,0,100000,30013,,1,30023,,1,354,,1,0,,0,0,,0,0,,0,0,,0
119,1050,,17,0,100000,30043,,1,30053,,1,354,,1,0,,0,0,,0,0,,0,0,,0
120,1052,,19,0,100000,30103,,1,30113,,1,354,,1,0,,0,0,,0,0,,0,0,,0
121,1054,,18,0,100000,30073,,1,30083,,1,354,,1,0,,0,0,,0,0,,0,0,,0
122,1056,,20,0,100000,30133,,1,30143,,1,354,,1,0,,0,0,,0,0,,0,0,,0
123,1058,,21,0,100000,30163,,1,30183,,1,354,,1,0,,0,0,,0,0,,0,0,,0
124,1060,,22,0,100000,30223,,1,30233,,1,354,,1,0,,0,0,,0,0,,0,0,,0
125,1062,,23,0,100000,30193,,1,30203,,1,354,,1,0,,0,0,,0,0,,0,0,,0
126,1064,,24,0,100000,30253,,1,30263,,1,354,,1,0,,0,0,,0,0,,0,0,,0
127,1066,,25,0,100000,30283,,1,30293,,1,354,,1,0,,0,0,,0,0,,0,0,,0
128,1068,,26,0,100000,30313,,1,30323,,1,354,,1,0,,0,0,,0,0,,0,0,,0
129,1070,,27,0,200000,1048,,1,1054,,1,0,,0,0,,0,0,,0,0,,0,0,,0
130,1071,,28,0,200000,1050,,1,1052,,1,0,,0,0,,0,0,,0,0,,0,0,,0
131,1072,,29,0,200000,1056,,1,1062,,1,0,,0,0,,0,0,,0,0,,0,0,,0
132,1073,,30,0,200000,1058,,1,1060,,1,0,,0,0,,0,0,,0,0,,0,0,,0
133,1074,,31,0,200000,1064,,1,1066,,1,0,,0,0,,0,0,,0,0,,0,0,,0
134,1151,,32,0,200000,361,,1,1021,,1,1091,,1,1171,,1,354,,1,0,,0,0,,0
135,1152,,33,0,200000,362,,1,1027,,1,1092,,1,1172,,1,354,,1,0,,0,0,,0
136,1153,,34,0,200000,363,,1,1009,,1,1093,,1,1173,,1,354,,1,0,,0,0,,0
137,1154,,35,0,200000,364,,1,1003,,1,1092,,1,1172,,1,354,,1,0,,0,0,,0
138,1155,,36,0,200000,365,,1,1025,,1,1095,,1,20508,,1,354,,1,0,,0,0,,0
139,1156,,37,0,200000,366,,1,1012,,1,1091,,1,1171,,1,354,,1,0,,0,0,,0
140,1157,,38,0,200000,367,,1,1023,,1,1097,,1,30253,,1,354,,1,0,,0,0,,0
141,1158,,39,0,200000,368,,1,1015,,1,1098,,1,313,,5,354,,1,0,,0,0,,0
142,1159,,40,0,200000,369,,1,1018,,1,1097,,1,333,,5,354,,1,0,,0,0,,0
143,1160,,41,0,200000,370,,1,1009,,1,1093,,1,1173,,1,354,,1,0,,0,0,,0
144,1161,,42,0,200000,371,,1,1006,,1,1094,,1,1174,,1,354,,1,0,,0,0,,0
145,1162,,43,0,200000,372,,1,1003,,1,1098,,1,303,,5,354,,1,0,,0,0,,0
146,1163,,44,0,200000,373,,1,1027,,1,1095,,1,20005,,1,354,,1,0,,0,0,,0
147,20001,,185,0,1000,351,,3,331,,1,0,,0,0,,0,0,,0,0,,0,0,,0
148,20002,,189,0,1000,321,,3,352,,1,0,,0,0,,0,0,,0,0,,0,0,,0
149,20003,,190,0,1000,352,,3,341,,1,0,,0,0,,0,0,,0,0,,0,0,,0
150,20004,,234,0,1000,301,,3,322,,1,0,,0,0,,0,0,,0,0,,0,0,,0
151,20005,,207,0,1000,312,,3,30141,,1,0,,0,0,,0,0,,0,0,,0,0,,0
152,20006,,208,0,1000,313,,2,333,,2,0,,0,0,,0,0,,0,0,,0,0,,0
153,20007,,209,0,1000,311,,10,30201,,1,0,,0,0,,0,0,,0,0,,0,0,,0
154,20008,,191,0,1000,301,,3,343,,1,0,,0,0,,0,0,,0,0,,0,0,,0
155,20009,,210,0,1000,322,,3,311,,3,0,,0,0,,0,0,,0,0,,0,0,,0
156,20010,,235,0,1000,351,,10,331,,5,0,,0,0,,0,0,,0,0,,0,0,,0
157,20011,,161,0,1000,343,,3,341,,1,0,,0,0,,0,0,,0,0,,0,0,,0
158,20012,,162,0,1000,343,,3,323,,1,0,,0,0,,0,0,,0,0,,0,0,,0
159,20013,,233,0,1000,312,,2,302,,2,0,,0,0,,0,0,,0,0,,0,0,,0
160,20014,,236,0,1000,313,,10,331,,5,0,,0,0,,0,0,,0,0,,0,0,,0
161,20015,,237,0,1000,302,,10,322,,5,0,,0,0,,0,0,,0,0,,0,0,,0
162,20100,,165,0,1000,353,,2,352,,2,0,,0,0,,0,0,,0,0,,0,0,,0
163,20101,,166,0,1000,353,,3,352,,1,0,,0,0,,0,0,,0,0,,0,0,,0
164,20102,,167,0,1000,353,,1,352,,2,0,,0,0,,0,0,,0,0,,0,0,,0
165,20103,,192,0,1000,351,,3,311,,1,0,,0,0,,0,0,,0,0,,0,0,,0
166,20104,,186,0,1000,351,,2,311,,2,0,,0,0,,0,0,,0,0,,0,0,,0
167,20105,,187,0,1000,351,,3,331,,5,0,,0,0,,0,0,,0,0,,0,0,,0
168,20106,,168,0,1000,311,,3,353,,1,0,,0,0,,0,0,,0,0,,0,0,,0
169,20107,,169,0,1000,311,,3,341,,1,0,,0,0,,0,0,,0,0,,0,0,,0
170,20108,,170,0,1000,311,,3,333,,1,0,,0,0,,0,0,,0,0,,0,0,,0
171,20109,,171,0,1000,311,,2,301,,2,0,,0,0,,0,0,,0,0,,0,0,,0
172,20110,,172,0,1000,311,,3,302,,1,0,,0,0,,0,0,,0,0,,0,0,,0
173,20111,,173,0,1000,311,,3,322,,1,0,,0,0,,0,0,,0,0,,0,0,,0
174,20112,,174,0,1000,311,,3,323,,1,0,,0,0,,0,0,,0,0,,0,0,,0
175,20113,,175,0,1000,311,,3,343,,1,0,,0,0,,0,0,,0,0,,0,0,,0
176,20114,,176,0,1000,352,,3,322,,1,0,,0,0,,0,0,,0,0,,0,0,,0
177,20115,,177,0,1000,352,,2,353,,2,0,,0,0,,0,0,,0,0,,0,0,,0
178,20116,,178,0,1000,352,,2,341,,2,0,,0,0,,0,0,,0,0,,0,0,,0
179,20300,,179,0,1000,302,,2,303,,2,0,,0,0,,0,0,,0,0,,0,0,,0
180,20301,,180,0,1000,302,,2,301,,2,0,,0,0,,0,0,,0,0,,0,0,,0
181,20500,,184,0,1000,332,,2,323,,2,0,,0,0,,0,0,,0,0,,0,0,,0
182,20502,,181,0,1000,352,,3,351,,1,0,,0,0,,0,0,,0,0,,0,0,,0
183,20503,,182,0,1000,352,,2,353,,2,0,,0,0,,0,0,,0,0,,0,0,,0
184,20504,,183,0,1000,352,,2,311,,2,0,,0,0,,0,0,,0,0,,0,0,,0
185,20505,,193,0,1000,321,,2,323,,2,0,,0,0,,0,0,,0,0,,0,0,,0
186,20506,,163,0,1000,343,,10,351,,5,0,,0,0,,0,0,,0,0,,0,0,,0
187,20507,,164,0,1000,331,,10,353,,5,0,,0,0,,0,0,,0,0,,0,0,,0
188,20508,,219,0,1000,341,,3,311,,1,0,,0,0,,0,0,,0,0,,0,0,,0
189,20509,,221,0,1000,301,,20,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
190,20510,,222,0,1000,313,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
191,20511,,223,0,1000,312,,3,331,,1,0,,0,0,,0,0,,0,0,,0,0,,0
192,20512,,220,0,1000,312,,3,311,,1,0,,0,0,,0,0,,0,0,,0,0,,0
193,20513,,224,0,1000,331,,10,313,,3,0,,0,0,,0,0,,0,0,,0,0,,0
194,20514,,225,0,1000,311,,10,342,,3,0,,0,0,,0,0,,0,0,,0,0,,0
195,20515,,226,0,1000,323,,10,331,,5,0,,0,0,,0,0,,0,0,,0,0,,0
196,20516,,227,0,1000,313,,2,331,,2,0,,0,0,,0,0,,0,0,,0,0,,0
197,20517,,228,0,1000,343,,3,341,,1,0,,0,0,,0,0,,0,0,,0,0,,0
198,20518,,229,0,1000,342,,10,343,,5,0,,0,0,,0,0,,0,0,,0,0,,0
199,20519,,211,0,1000,313,,1,30261,,1,0,,0,0,,0,0,,0,0,,0,0,,0
200,20520,,212,0,1000,342,,10,311,,5,322,,3,0,,0,0,,0,0,,0,0,,0
201,20521,,194,0,1000,343,,2,331,,2,0,,0,0,,0,0,,0,0,,0,0,,0
202,20522,,195,0,1000,311,,3,331,,1,0,,0,0,,0,0,,0,0,,0,0,,0
203,20523,,196,0,1000,331,,3,313,,1,0,,0,0,,0,0,,0,0,,0,0,,0
204,20524,,197,0,1000,311,,3,313,,1,0,,0,0,,0,0,,0,0,,0,0,,0
205,20525,,198,0,1000,321,,5,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
206,20526,,199,0,1000,321,,2,351,,2,0,,0,0,,0,0,,0,0,,0,0,,0
207,20527,,200,0,1000,301,,5,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
208,20528,,201,0,1000,323,,2,332,,2,0,,0,0,,0,0,,0,0,,0,0,,0
209,20532,,202,0,1000,311,,2,342,,2,0,,0,0,,0,0,,0,0,,0,0,,0
210,20533,,230,0,1000,301,,5,332,,3,0,,0,0,,0,0,,0,0,,0,0,,0
211,20534,,231,0,1000,312,,3,342,,1,0,,0,0,,0,0,,0,0,,0,0,,0
212,20535,,232,0,1000,313,,10,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
213,20536,,213,0,1000,341,,2,312,,2,0,,0,0,,0,0,,0,0,,0,0,,0
214,20537,,214,0,1000,331,,3,351,,1,0,,0,0,,0,0,,0,0,,0,0,,0
215,20538,,215,0,1000,331,,3,312,,1,0,,0,0,,0,0,,0,0,,0,0,,0
216,20539,,216,0,1000,342,,5,332,,3,0,,0,0,,0,0,,0,0,,0,0,,0
217,20540,,203,0,1000,331,,10,323,,3,0,,0,0,,0,0,,0,0,,0,0,,0
218,20541,,188,0,1000,333,,30,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
219,20542,,217,0,1000,331,,10,342,,10,0,,0,0,,0,0,,0,0,,0,0,,0
220,20543,,206,0,1000,341,,2,321,,2,0,,0,0,,0,0,,0,0,,0,0,,0
221,20544,,204,0,1000,351,,3,343,,1,0,,0,0,,0,0,,0,0,,0,0,,0
222,20545,,218,0,1000,342,,3,313,,1,0,,0,0,,0,0,,0,0,,0,0,,0
223,20546,,205,0,1000,321,,3,341,,1,0,,0,0,,0,0,,0,0,,0,0,,0
224,20605,,238,0,1000,302,,10,341,,10,343,,10,0,,0,0,,0,0,,0,0,,0
225,29001,,45,0,50000,1,,10,352,,3,323,,1,0,,0,0,,0,0,,0,0,,0
226,29002,,47,0,50000,7,,10,332,,3,313,,1,0,,0,0,,0,0,,0,0,,0
227,29003,,49,0,50000,30,,5,302,,3,343,,1,0,,0,0,,0,0,,0,0,,0
228,29004,,50,0,100000,29003,,1,20002,,1,343,,3,0,,0,0,,0,0,,0,0,,0
229,29005,,51,0,50000,31,,5,352,,3,333,,1,0,,0,0,,0,0,,0,0,,0
230,29006,,53,0,50000,32,,5,342,,3,303,,1,0,,0,0,,0,0,,0,0,,0
231,29007,,55,0,50000,33,,5,332,,3,353,,1,0,,0,0,,0,0,,0,0,,0
232,29008,,57,0,50000,34,,5,312,,3,303,,1,0,,0,0,,0,0,,0,0,,0
233,10844,,331,0,5000,800,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
234,10024,,239,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
235,10027,,240,0,4200,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
236,10034,,241,0,4600,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
237,10035,,242,0,4800,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
238,10057,,251,0,3200,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
239,10075,,253,0,3300,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
240,10080,,254,0,3100,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
241,10083,,255,0,2800,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
242,10088,,257,0,4000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
243,10126,,263,0,4150,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
244,10135,,265,0,3900,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
245,10150,,266,0,4200,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
246,10170,,269,0,3800,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
247,10172,,270,0,3700,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
248,10179,,272,0,3600,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
249,10195,,276,0,4400,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
250,10229,,279,0,2700,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
251,10232,,280,0,2600,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
252,10311,,284,0,2400,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
253,10315,,287,0,2500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
254,10338,,289,0,2900,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
255,10382,,292,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
256,10385,,293,0,3100,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
257,10390,,294,0,4800,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
258,10416,,295,0,4300,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
259,10421,,299,0,4100,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
260,10428,,300,0,3600,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
261,10602,,307,0,3400,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
262,10732,,313,0,3300,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
263,10742,,317,0,3400,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
264,10747,,318,0,3800,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
265,10748,,319,0,3700,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
266,10749,,320,0,3900,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
267,10772,,325,0,4000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
268,10776,,327,0,4100,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
269,10036,,243,0,4300,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
270,10037,,244,0,4200,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
271,10038,,245,0,3900,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
272,10039,,246,0,4800,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
273,10040,,247,0,4600,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
274,10086,,256,0,4000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
275,10104,,259,0,3800,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
276,10105,,260,0,4300,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
277,10168,,267,0,5000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
278,10169,,268,0,5300,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
279,10176,,271,0,3000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
280,10180,,273,0,3700,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
281,10181,,274,0,3900,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
282,10189,,275,0,3600,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
283,10215,,277,0,3900,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
284,10417,,296,0,4250,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
285,10419,,297,0,4050,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
286,10420,,298,0,4400,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
287,10435,,302,0,5000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
288,10439,,303,0,3800,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
