int32 0,empty 1,string2 2,string2 3,int32 4,int32 5,string2 6,float 7,float 8,float 9,float 10,float 11,float 12,int32 13,int32 14,int32 15,int32 16,int32 17
20112,,"Nature","",1,1,"s01Fobj112",4,1.5,1.5,5,0,0,1,1,1,-1,0
20113,,"Nature","",1,1,"s01Fobj113",4,1.5,1.5,5,0,0,1,1,1,-1,0
20114,,"Nature","",1,1,"s01Fobj114",4,1.5,1.5,5,0,0,1,1,1,-1,0
20115,,"Nature","",1,1,"s01Fobj115",4,1.5,1.5,5,0,0,1,1,1,-1,0
20116,,"Nature","",1,1,"s01Fobj116",4,1.5,1.5,5,0,0,1,1,1,-1,0
20300,,"Nature","",1,1,"s01Fobj300",4,1.5,1.5,5,0,0,1,1,1,-1,0
20301,,"Nature","",1,1,"s01Fobj301",4,1.5,1.5,5,0,0,1,1,1,-1,0
20500,,"Nature","",1,1,"s01Fobj500",4,1.5,1.5,5,0,0,1,1,1,-1,0
20502,,"Nature","",1,1,"s01Fobj502",4,1.5,1.5,5,0,0,1,1,1,-1,0
20503,,"Nature","",1,1,"s01Fobj503",4,1.5,1.5,5,0,0,1,1,1,-1,0
20504,,"Nature","",1,1,"s01Fobj504",4,1.5,1.5,5,0,0,1,1,1,-1,0
20505,,"Garden","",1,1,"s01Fobj505",4,1.5,1.5,5,0,0,1,1,1,-1,0
20508,,"Accessory","",1,1,"s01Fobj508",4,1.5,1.5,5,0,0,1,1,1,-1,0
20510,,"Accessory","",1,1,"s01Fobj510",4,1.5,1.5,5,0,0,1,1,1,-1,0
20511,,"Accessory","",1,1,"s01Fobj511",4,1.5,1.5,5,0,0,1,1,1,-1,0
20512,,"Accessory","",1,1,"s01Fobj512",4,1.5,1.5,5,0,0,1,1,1,-1,0
20516,,"Accessory","",1,1,"s01Fobj516",4,1.5,1.5,5,0,0,1,1,1,-1,0
20517,,"Accessory","",1,1,"s01Fobj517",4,1.5,1.5,5,0,0,1,1,1,-1,0
20519,,"Machine","",1,1,"s01Fobj519",4,1.5,1.5,5,0,0,1,1,1,-1,0
20521,,"Garden","",1,1,"s01Fobj521",4,1.5,1.5,5,0,0,1,1,1,-1,0
20522,,"Garden","",1,1,"s01Fobj522",4,1.5,1.5,5,0,0,1,1,1,-1,0
20523,,"Garden","",1,1,"s01Fobj523",4,1.5,1.5,5,0,0,1,1,1,-1,0
20524,,"Garden","",1,1,"s01Fobj524",4,1.5,1.5,5,0,0,1,1,1,-1,0
20525,,"Garden","",1,1,"s01Fobj525",4,1.5,1.5,5,0,0,1,1,1,-1,0
20526,,"Garden","",1,1,"s01Fobj526",4,1.5,1.5,5,0,0,1,1,1,-1,0
20527,,"Garden","",1,1,"s01Fobj527",4,1.5,1.5,5,0,0,1,1,1,-1,0
20528,,"Garden","",1,1,"s01Fobj528",4,1.5,1.5,5,0,0,1,1,1,-1,0
20532,,"Garden","",1,1,"s01Fobj532",4,1.5,1.5,5,0,0,1,1,1,-1,0
20534,,"Accessory","",1,1,"s01Fobj534",4,1.5,1.5,5,0,0,1,1,1,-1,0
20536,,"Machine","",1,1,"s01Fobj536",4,1.5,1.5,5,0,0,1,1,1,-1,0
20537,,"Machine","",1,1,"s01Fobj537",4,1.5,1.5,5,0,0,1,1,1,-1,0
20538,,"Machine","",1,1,"s01Fobj538",4,1.5,1.5,5,0,0,1,1,1,-1,0
20543,,"Machine","",1,1,"s01Fobj543",4,1.5,1.5,5,0,0,1,1,1,-1,0
20545,,"Machine","",1,1,"s01Fobj545",4,1.5,1.5,5,0,0,1,1,1,-1,0
20547,,"Machine","",1,1,"s01Fobj702",4,1.5,1.5,5,0,0,1,1,1,-1,0
20548,,"Nature","",1,1,"s01Fobj17",4,1.5,1.5,5,0,0,1,1,1,-1,0
20549,,"Nature","",1,1,"s01Fobj16",4,1.5,1.5,5,0,0,1,1,1,-1,0
22001,,"Special","",1,1,"s01Fobj600",4,1.5,1.5,5,0,0,1,1,1,-1,0
22002,,"Special","",1,1,"s01Fobj601",4,1.5,1.5,5,0,0,1,1,1,-1,0
22003,,"Special","",1,1,"s01Fobj602",4,1.5,1.5,5,0,0,1,1,1,-1,0
22004,,"Special","",1,1,"s01Fobj603",4,1.5,1.5,5,0,0,1,1,1,-1,0
22005,,"Special","",1,1,"s01Fobj604",4,1.5,1.5,5,0,0,1,1,1,-1,0
20606,,"Monument","",1,1,"s01Fobj606",4,1.5,1.5,5,0,0,0,1,1,-1,0
20607,,"Monument","",1,1,"s01Fobj607",4,1.5,1.5,5,0,0,0,1,1,-1,0
20608,,"Monument","",1,1,"s01Fobj608",4,1.5,1.5,5,0,0,0,1,1,-1,0
20609,,"Monument","",1,1,"s01Fobj609",4,1.5,1.5,5,0,0,0,1,1,-1,0
20610,,"Monument","",1,1,"s01Fobj610",4,1.5,1.5,5,0,0,0,1,1,-1,0
20611,,"Monument","",1,1,"s01Fobj611",4,1.5,1.5,5,0,0,0,1,1,-1,0
20612,,"Monument","",1,1,"s01Fobj612",4,1.5,1.5,5,0,0,0,1,1,-1,0
20613,,"Special","",1,1,"s01Fobj613",4,1.5,1.5,5,0,0,1,1,1,-1,0
20614,,"Special","",1,1,"s01Fobj614",4,1.5,1.5,5,0,0,1,1,1,-1,0
20615,,"Special","",1,1,"s01Fobj615",4,1.5,1.5,5,0,0,1,1,1,-1,0
20616,,"Special","",1,1,"s01Fobj616",4,1.5,1.5,5,0,0,1,1,1,-1,0
20617,,"Special","",1,1,"s01Fobj617",4,1.5,1.5,5,0,0,1,1,1,-1,0
20618,,"Special","",1,1,"s01Fobj618",4,1.5,1.5,5,0,0,1,1,1,-1,0
20619,,"Special","",1,1,"s01Fobj619",4,1.5,1.5,5,0,0,1,1,1,-1,0
20620,,"Special","",1,1,"s01Fobj620",4,1.5,1.5,5,0,0,1,1,1,-1,0
20621,,"Special","",1,1,"s01Fobj621",4,1.5,1.5,5,0,0,1,1,1,-1,0
20622,,"Special","",1,1,"s01Fobj622",4,1.5,1.5,5,0,0,1,1,1,-1,0
