int32 0,empty 1,int32 2,empty 3,empty 4,int32 5,empty 6,bool 7,bool 8,bool 9,int32 10,int32 11,float 12,float 13,string2 14,int32 15,int32 16,int32 17,int32 18,int32 19,int32 20,int32 21,int32 22,int32 23,int32 24,int32 25,int32 26,int32 27,int32 28,int32 29,int32 30,empty 31,int32 32,int32 33,int32 34,int32 35,int32 36,int32 37,empty 38,int32 39,int32 40,empty 41,int32 42,int32 43
85301,,853,,,85301,,false,false,false,0,20,-1,0.05,"",0,0,7210,930,4930,2200,4890,2410,1790,220,60,0,150,0,150,200,,12,6640,10,320,32,0,,0,0,,0,0
85401,,854,,,85401,,false,false,false,0,20,-1,0.05,"",0,0,12480,870,5100,2650,5280,2700,1120,220,60,0,150,0,150,200,,12,6640,10,320,32,0,,0,0,,0,0
57402,,574,,,57402,,false,true,false,0,20,-1,0.05,"",0,0,1150,420,3447,1231,2917,1231,960,80,60,0,130,0,130,160,,0,84,6,80,8,0,,0,0,,0,25
19202,,192,,,19202,,false,true,false,0,20,-1,0.05,"",0,0,2800,500,3820,1862,2400,1639,1005,100,60,0,150,0,150,200,,0,264,8,160,16,6,,100,0,,0,20
19402,,194,,,19402,,false,true,false,0,20,-1,0.05,"",0,0,8980,870,4866,2295,3666,1860,1275,150,60,0,150,0,150,200,,0,664,10,320,32,28,,100,0,,0,15
43103,,431,,,43103,,false,true,false,0,20,-1,0.05,"",0,0,5520,480,4626,1810,2976,1490,1350,150,60,0,150,0,150,160,,0,664,10,320,32,28,,100,0,,0,15
21703,,217,,,21703,,false,true,false,0,20,-1,0.05,"",0,0,3610,800,3590,1680,3670,1620,1445,100,60,0,150,0,150,200,,0,264,8,160,16,9,,100,0,,0,20
8202,,82,,,8202,,false,true,false,0,20,-1,0.05,"",0,0,2060,1000,3250,1320,4060,1790,1290,90,60,0,150,0,150,200,,0,264,8,160,16,9,,100,0,,0,20
13702,,137,,,13702,,false,true,false,0,20,-1,0.05,"",0,0,2920,380,3770,1510,3960,1400,1190,80,60,0,130,0,130,200,,0,84,6,80,8,6,,100,0,,0,25
72402,,724,,,72402,,false,true,false,0,20,-1,0.05,"",0,0,3620,520,1650,1850,3740,1850,905,100,60,0,150,0,150,160,,0,264,8,160,16,6,,100,0,,0,20
21302,,213,,,21302,,false,true,false,0,20,-1,0.05,"",0,0,7120,1030,4526,1770,4166,1960,1485,150,60,0,150,0,150,200,,0,664,10,320,32,28,,100,0,,0,15
503,,5,,,503,,false,true,false,0,20,-1,0.05,"",0,0,3420,340,3877,1930,2787,1630,740,80,60,0,130,0,130,130,,0,84,6,80,8,9,,100,0,,0,25
6003,,60,,,6002,,false,true,false,0,20,-1,0.05,"",0,0,2690,760,4045,1760,3746,1760,1120,100,60,0,150,0,150,160,,0,664,10,320,32,28,,100,0,,0,15
41302,,413,,,41302,,false,true,false,0,20,-1,0.05,"",0,0,1870,590,3460,1775,4210,1705,875,90,60,0,150,0,150,200,,0,264,8,160,16,6,,100,0,,0,20
2803,,28,,,2802,,false,true,false,0,20,-1,0.05,"",0,0,2730,500,3720,1520,4010,2068,720,90,60,0,150,0,150,160,,0,264,8,160,16,9,,100,0,,0,20
38302,,383,,,38302,,false,true,false,0,20,-1,0.05,"",0,0,4550,480,4546,1910,2676,1710,1050,120,60,0,150,0,150,180,,0,664,10,320,32,28,,100,0,,0,15
73702,,737,,,73702,,false,true,false,0,20,-1,0.05,"",0,0,1890,660,4207,1660,3327,1640,1410,90,60,0,150,0,150,200,,0,664,10,320,32,28,,100,0,,0,15
72202,,722,,,72202,,false,true,false,0,20,-1,0.05,"",0,0,2470,710,3530,1510,4070,1590,1365,100,60,0,150,0,150,200,,0,264,8,160,16,6,,100,0,,0,20
77004,,770,,,77004,,false,true,false,0,20,-1,0.05,"",0,0,2420,560,4050,1620,2580,1390,910,90,60,0,150,0,150,160,,0,264,8,160,16,9,,100,0,,0,20
4402,,44,,,4402,,false,true,false,0,20,-1,0.05,"",0,0,1640,710,3530,1738,3080,1694,840,90,60,0,150,0,150,200,,0,264,8,160,16,9,,100,0,,0,20
9802,,98,,,9802,,false,true,false,0,20,-1,0.05,"",0,0,3060,560,4230,2220,2896,2220,750,110,60,0,150,0,150,180,,0,664,10,320,32,28,,100,0,,0,15
47902,,479,,,47902,,false,true,false,0,20,-1,0.05,"",0,0,2050,620,4570,1275,3200,1205,1330,95,60,0,150,0,150,200,,0,264,8,160,16,6,,100,0,,0,20
42803,,428,,,42803,,false,true,false,0,20,-1,0.05,"",0,0,2560,700,4450,1810,2986,1670,1250,120,60,0,150,0,150,200,,0,664,10,320,32,28,,100,0,,0,15
19802,,198,,,19802,,false,true,false,0,20,-1,0.05,"",0,0,1830,560,3340,1770,3260,1580,860,90,60,0,150,0,150,200,,0,264,8,160,16,6,,100,0,,0,20
70403,,704,,,70403,,false,true,false,0,20,-1,0.05,"",0,0,2900,700,3776,2020,3776,1760,1080,110,60,0,150,0,150,200,,0,664,10,320,32,28,,100,0,,0,15
41002,,410,,,41002,,false,true,false,0,20,-1,0.05,"",0,0,1310,820,3160,1520,3600,1720,910,90,60,0,150,0,150,200,,0,264,8,160,16,9,,100,0,,0,20
2402,,24,,,2402,,false,true,false,0,20,-1,0.05,"",0,0,1570,1470,2836,1310,4110,2320,940,100,60,0,150,0,150,200,,0,664,10,320,32,28,,100,0,,0,15
48401,,484,,,48401,,false,true,false,0,20,-1,0.05,"",0,0,1420,640,3540,1940,2100,1540,980,100,60,0,150,0,150,160,,0,264,8,160,16,9,,100,0,,0,20
59602,,596,,,59602,,false,true,false,0,20,-1,0.05,"",0,0,1090,620,3020,1550,3320,2180,1680,90,60,0,150,0,150,200,,0,264,8,160,16,6,,100,0,,0,20
42402,,424,,,42402,,false,true,false,0,20,-1,0.05,"",0,0,2110,600,3892,2260,2432,1750,1340,100,60,0,150,0,150,200,,0,664,10,320,32,28,,100,0,,0,15
19701,,197,,,19701,,false,true,false,0,20,-1,0.05,"",0,0,5820,1200,4120,2780,3690,2650,1190,150,60,0,150,0,150,200,,0,664,10,320,32,28,,100,0,,0,15
31002,,310,,,31002,,false,true,false,0,20,-1,0.05,"",0,0,6310,1600,1510,1350,4420,1950,1540,150,60,0,150,0,150,200,,0,664,10,320,32,28,,100,0,,0,15
